MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nAh, exactement ce dont j'avais besoin !\nOn n'avait pas chevauché ensemble depuis\nbien trop longtemps.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nC'est vrai, cheffe. Rien ne vaut une sortie\nà dos de loup.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nToi et moi, nous partions battre la campagne\npresque toutes les nuits. Où est passée cette\népoque ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nLa guerre est arrivée depuis. Le monde\na changé, malheureusement.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nRien n'est plus vrai. Ceci dit, tu as mis de l'eau\ndans ton vin entre-temps, tu sais.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nQu'entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nFais un effort !\nTe souviens-tu de notre rencontre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nTu avais attaché des bandits à des arbres et\ntu t'apprêtais à laisser des loups les dévorer !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nJe voulais juste leur faire peur !\nJe ne les aurais jamais...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nEt ne me lance pas sur la façon dont tu parlais.\nTu disais des choses comme...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\n« Vous avez faim, bande de minables ?\nGoûtez un peu à ma salade de phalanges\nbien fraîche ! »\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nPitié, arrêtez avec cette imitation vulgaire !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nNe t'en fais pas, Panette. J'aimais ton ancienne\npersonnalité, mais j'aime aussi celle que tu es\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nC'est un sentiment réciproque, cheffe.\nVos incessantes moqueries mises à part...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nCheffe, quand vous disiez que j'avais changé...\nvous aviez raison.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nMais c'est en partie de votre faute.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nDe ma faute ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nOui. Quand nous nous sommes rencontrées,\nj'étais l'image même de la sauvagerie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nMa vie était pour le moins... chaotique,\net j'étais rongée par la colère.\x0E\x04\x00\x00
