MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci d'avoir accepté de vous entraîner avec\nmoi, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nAucun problème. C'est toujours un plaisir de\ntomber sur quelqu'un qui m'oppose un peu\nde résistance.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nVous me rassurez ! J'ai eu le plus grand mal à\nvous suivre... Je comprends que Brodia vous\ntienne en si haute estime.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nVous êtes trop modeste. Vous vous débrouillez\nbien, et vous avez encore un grand potentiel\nà révéler.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nVous êtes puissant\x0E\x0A\x00\x06
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nC'est possible, mais c'est surtout votre\ndétermination que je vous envie. Vous\nmenez vos attaques sans jamais fléchir.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nCroyez-vous que j'ai l'étoffe d'un\x0E\x0A\x00\x06
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nSaphir ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nAh, pardon.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nÉcoutez... Il vaudrait mieux pour vous que\nvous ne vous inspiriez pas trop de mon style\nde combat.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nVous avez pas l'âme du guerrier implacable.\nVous avez trop bon cœur pour ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nRestez vous-même, et ne reniez jamais cette\nbonté qui vous honore.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nJe comprends. Merci, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nBien, nous nous sommes suffisamment\nentraîné\x0E\x0A\x00\x06
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMerci encore pour votre patience !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nMême quand vous vous battez, vos yeux\ndébordent de bonté. Ça fait chaud au cœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nBref, merci pour la séance d'échauffement !\nJe vous laisse, je vais faire un peu\nd'entraînement physique.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nVous enchaînez donc les séances ?\nQuelle énergie débordante !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nJ'ai que ça dans la vie, alors j'y consacre\ntout mon temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nQue voulez-vous dire par là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nAllons, soit. Je parle pas de ces trucs-là,\nd'habitude, mais vous avez le droit à une\nréponse.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nJ'ai toujours été très forte, même gamine.\nMais à l'époque, j'avais une copine que\nj'arrivais jamais à battre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nElle s'entraînait durement, et c'est rien de le\ndire ! Son objectif, c'était de devenir le chevalier\nle plus puissant qui ait jamais vécu.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nUn jour, Elusia a attaqué mon village.\nMa copine s'est fait tuer.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nJe voulais pas que sa quête se termine\nainsi, il fallait que quelqu'un la reprenne en\nson honneur. J'ai décidé que ce serait moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nToutes mes condoléances.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nQuelque chose me dit que ce n'est pas l'unique\nraison pour laquelle vous vous soumettez à un\nentraînement aussi rigoureux.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nQu'est-ce qui vous fait dire ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nLe genre de férocité dont vous faites preuve au\ncombat ne trouve généralement pas sa source\ndans la douleur, mais plutôt dans la vengeance.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nIl faut que je retourne à l'entraînement tant\nque j'ai les muscles chauds.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nMerci de m'avoir écouté déblatérer, en tout\ncas. À la prochaine.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nSaphir...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nJe suis allé\x0E\x0A\x00\x06
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nVotre Divinité... Je voulais m'excuser pour\nl'autre fois, j'ai mal réagi quand vous avez\ncommenté ma façon de me battre.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nVous n'avez pas à vous excuser. C'est moi qui\nai manqué de tact avec mes insinuations.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nVous aviez pas tort. Je ressens une haine\ntenace envers Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nCe qui rend les choses plus difficiles encore\nà pardonner, c'est que ce soit moi, l'unique\nsurvivante.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nSi j'étais morte à la place de mon amie, l'armée\nde Brodia aurait gagné au change.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nJe crois que c'est pour ça que je jette toutes\nmes forces dans chaque bataille. Pour essayer\nde compenser sa perte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nMerci de vous être confiée à moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nJe dois vous avouer que cela me soulage\ngrandement.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nSi c'était uniquement la vengeance qui vous\npoussait à vous entraîner autant, j'aurais tenté\nde vous convaincre d'y renoncer.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nLa voie de la vengeance peut certes apporter\nla puissance, mais au prix de trop grandes\nsouffrances.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nMais je comprends à présent que si vous vous\ndonnez tant de mal, c'est pour réaliser le vœu\nd'un être cher.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nVotre amie en serait certainement touchée,\nmais je doute qu'elle approuve la souffrance\nque vous vous infligez.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nÀ sa place, je préférerais vous savoir heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nC'est drôle... J'ai jamais vu les choses\nsous cet angle.\x0E\x04\x00\x00
