MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nGrillée à point et prête à être dégustée !\nCette viande sera un régal à faire danser\nles papilles.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOuah. Voilà beaucoup de viande pour\ndeux personnes.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, non. Ce n'est que ma part.\nJe préparerai la vôtre ensuite.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nQuoi ?! Comment pouvez-vous manger autant ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nOh, vous savez. J'ouvre la bouche, je croque\net je mâche... Je vous épargne les détails.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nOuah. Vous êtes une personne à part, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nEXACTEMENT ! JE SUIS À PART !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nJE SUIS LA PRINCESSE HÉRITIÈRE DE SOLM !\nET JE PORTE DES TAS DE BIJOUX HORS\nDE PRIX !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nMoins fort, je vous en prie !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nIl paraît que le quartier n'est pas très sûr.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nJe vous le confirme. Ça grouille littéralement\nde bandits.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nC'est pourquoi je suis là, telle une belle\nbrochette de viande bien tentante.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nAttendez une minute... C'était votre idée ?!\nDe servir d'appât ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nÇa marche bien, pas vrai ? Regardez. Depuis\nqu'on est arrivé\x0E\x0A\x00\x06
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nOn dirait qu'ils... qu'ils se préparent à nous\ntendre une embuscade !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\nPas si on les attaque en premier ! Allez, vous\net moi, on en fera qu'une bouchée !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nEuh, c'est d'accord. Mais laissez-moi vous dire\nque j'aurais aimé connaître le plan à l'avance !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nMerci, Votre Divinité. Vous m'avez vraiment\nsauvé la couenne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nTout le plaisir était pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nJ'avoue que je ne m'attendais pas à ce que\nnotre pique-nique se transforme en assaut\ncontre un repaire de bandits.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nVraiment ? C'est ainsi que se termine la plupart\nde mes pique-niques.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nLorsque vous m'avez invité\x0E\x0A\x00\x06
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nEt c'est bien ce qui s'est passé ! On en a eu\nplus qu'assez pour nous deux, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nOui, j'étais parfaitement rassasié\x0E\x0A\x00\x06
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\n« J'ai trouvé le campement des bandits.\nSi ça vous dit, on leur rentre dedans, on fait\nle ménage et on prépare un barbecue après ? »\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nÇa aurait été plus... précis.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHa ha ha ! Mais c'est beaucoup trop verbeux !\nMon style était bien plus concis.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nC'est une manière de le présenter.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nVous m'étonnerez toujours. Vous charger\nd'éliminer des bandits...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nQuoi, c'est inhabituel ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nJe ne fais que protéger mon peuple. Je pensais\nque c'était le devoir d'une princesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nVous tenez des propos résolument radicaux,\nmais ils passent pour l'évidence même dans\nvotre bouche.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nHa ha ha ! C'est ce qui fait tout mon charme !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHé, Votre Divinité, ça vous dit d'aller...\ntailler le bout de gras ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nÇa dépend. Cela inclut-il une chasse\naux bandits surprise, cette fois ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nHé hé ! Non, je vous promets qu'il n'y aura\nque vous, moi et quelques morceaux de viande\nfraîchement grillés.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nJ'ai rapporté du beau gibier lors de la dernière\npartie de chasse, et je voudrais partager\nle butin !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nC'est d'accord. Dans ce cas, j'en suis\navec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x04\x03\x04
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nJ'ai tellement mangé que je ne peux\nplus bouger...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nJe dois dire que c'était tout à fait délicieux.\nVous avez parfaitement géré la cuisson.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nOh oh.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nBon, avant de vous mettre en colère...\nsachez que je voulais vraiment organiser\nun pique-nique tout simple.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nMais une bande de vauriens est en train\nde nous encercler, et je parie qu'ils ont\nd'autres intentions.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nQuoi ?! Je pensais qu'on s'en était débarrassés !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nMoi aussi. J'ai dû manquer un repaire pendant\nmes recherches.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAh... Ils sont en nombre conséquent...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nJe vais ouvrir une brèche, et vous, vous filez\nvous mettre à l'abri.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nHm, bonne idée. Mais laissez-moi vous\nproposer une alternative.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nÉradiquons-les jusqu'au dernier et mettons\nfin à la menace qu'ils représentent une fois\npour toutes.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAinsi, les habitants de toute la région\nseront plus en sécurité.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nHé hé ! Il me coûte de l'admettre,\nmais je préfère votre idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nJe suppose que vous déteignez sur moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nAllez ! Assurons-nous que ces abrutis ne\npuissent plus jamais gâcher un pique-nique !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nJe surveille vos arrières !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nVotre Divinité, vous savez que les Solmois\naiment leur liberté plus que tout, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nJe le sais.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nミスティラ\nC'est vrai pour moi aussi. J'aime faire ce que\nje veux, quand je veux ! C'est juste que...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nミスティラ\nEst-ce que vous pensez parfois que vos\nmeilleurs amis sont un obstacle à votre liberté ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nミスティラ\nQuand on se fait des amis et qu'on tisse\nde véritables liens avec eux, ces liens nous\nrendent plus forts.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nミスティラ\nVoyez vous-même, nos alliés nous permettent\nde réaliser des choses dont nous aurions été\nincapables, sans eux.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nミスティラ\nC'est une force, je le sais bien. mais je me\ndemande si ces liens ne peuvent pas aussi\nêtre une sorte de contrainte.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nJe vois ce que vous voulez dire, et vous n'avez\npas tort.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nParfois, quand on tient à quelqu'un, il faut faire\npasser cette personne avant soi-même.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nCela se produit souvent quand on entretient\ndes relations étroites.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nミスティラ\nAlors faut-il abandonner ses amis et vivre seul\npour être vraiment libre ? Qu'en pensez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nJe pense que vous devriez prendre ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nミスティラ\nC'est... l'Anneau du Pacte ?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nOui, et je veux que vous l'ayez, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nミスティラ\nMoi ?! Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nParce qu'il va nous rapprocher, mais qu'il ne\nvous privera pas de votre liberté pour autant.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nJe tiens à vous, Timerra, et il est hors de\nquestion que vous renonciez à la chose\nqui vous est la plus précieuse.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nミスティラ\nVous pensez vraiment que nous pouvons être\naussi étroitement lié\x0E\x0A\x00\x0A\x02s\x04es et garder chacun\x0E\x0A\x00\x06
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nOui. J'en suis persuadé\x0E\x0A\x00\x06
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nミスティラ\nC'est... merveilleux. Ma réponse est évidente,\ndans ce cas.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nミスティラ\nJ-J'accepte cet anneau.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nJe vous promets que même si nos cœurs sont\nattachés l'un à l'autre, vous conserverez votre\nliberté.\x0E\x04\x00\x00
