MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nPourquoi ? Pourquoi feraient-ils une chose\npareille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nC'est... C'est pas juste !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nBonjour. Vous êtes Boucheron, je me trompe ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nC'est ça. Et tu es... Framme, il me semble.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nQu'est-ce que... je peux faire pour toi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nOh, euh... rien, merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nJ'ai entendu quelqu'un pleurer à chaudes\nlarmes et je me suis inquiétée, voilà tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAh. Je vois. Désolé pour le dérangement,\nmais je vais bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nSi vous le dites... Mais dans ce cas, pourquoi\nsanglotez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nJe lisais ce livre, et l'histoire m'a totalement\nbouleversé.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nVous êtes dans cet état... à cause d'un livre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nOn dit souvent que je pleure facilement. La plus\npetite chose peut me faire fondre en larmes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nD'accord, je vois le genre. Et il parle de quoi,\nce livre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nEh bien, c'est l'histoire d'un frère et d'une\nsœur qui sont séparés pendant une guerre, et\nqui se retrouvent plus tard, mais en ennemis.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nHm. Ça a l'air intéressant.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nJe te le prêterai volontiers une fois que\nje l'aurai fini.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nC'est gentil, mais je vais décliner votre offre.\nJe ne... Pour tout dire, je ne suis pas une grande\nlectrice.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nOh, c'est dommage.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nAh ! Et si je vous faisais plutôt la lecture ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nQuoi ?! C'est gentil, assurément. Mais je ne\npeux pas vous demander de me lire l'histoire\ncomme à une enfant.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nブシュロン\nN'en fais pas toute une affaire. Je suis sûr que\nça te fera autant plaisir qu'à moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nDans ce cas... J'accepte ! Après tout,\npourquoi pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\n« Et c'est ainsi que la longue guerre se termina.\nLe frère et sa sœur purent finalement connaître\nla paix. »\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\n« Après une si longue attente, ils vécurent enfin\nsimplement et dans la joie, l'un aux côtés de\nl'autre. »                                                  Fin.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nBOUHOUHOUHOUIIIN !!!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nIls sont enfin... Enfin réunis !\nÇa me rassure tellement !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nMais oui ! Quel soulagement. Rien que d'y\nrepenser, j'ai les larmes qui remontent.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nÀ vrai dire... vous pleuriez tellement\nque j'ai... raté certains passages.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nN'empêche que le reste était génial !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nTu m'en vois ravi ! Je savais que ça te plairait !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nMaintenant je comprends comment vous pouvez\npleurer en lisant un livre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nQui aurait cru qu'ils puissent être si... beaux ?\nC'est à croire que je n'ai lu que de mauvais\nouvrages.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nEh bien sache qu'il existe un grand nombre\nde livres captivants, si jamais ça t'intéresse.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nSi celui qu'on vient de lire t'a plu, je peux t'en\nrecommander un autre. Il se passe dans une\nacadémie d'officiers.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nLa série est connue pour ses intrigues politiques\net la complexité de ses personnages. Oh, et elle\ncompte maintenant 30 tomes.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nAh, quand même.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nJ'ai hâte d'en discuter avec toi, quand\ntu les auras finis.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nHm... Je ne me sens pas capable de me lancer\ndans 30 livres toute seule.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nMais je ne peux pas non plus vous demander\nde tous me les lire. Alors... ne vous faites pas\ntrop d'illusions, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nJe suis juste une lectrice très lente.\nJe m'en voudrais de vous faire poireauter.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nOh... OK. Si c'est ce que tu veux vraiment.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nMais merci quand même ! Vous m'avez montré\nque la lecture peut aussi être passionnante.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nブシュロン\nEh bien, je suis content d'avoir éveillé la lectrice\nqui sommeillait en toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nFramme ? J'ai un cadeau pour toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nPour moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nTiens, je pense que ça te plaira.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nHm. C'est un autre livre que vous aimeriez\nque je lise ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nOuvre-le, tu verras.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nD'accord...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nM-Mais ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nIl n'y a rien dedans. Toutes les pages\nsont blanches !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nC'est exact.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nBoucheron, vous vous fichez de moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nNon, non. Il y a une bonne raison pour laquelle\nces pages sont vierges.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nC'est pour te permettre d'y écrire\nta propre histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nÉcrire ? Moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nTout à fait. Puisqu'il n'y a que peu de livres\nqui t'intéressent, à toi d'écrire le tien.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nComment voulez-vous que j'écrive un livre\nentier toute seule ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nTu n'as pas besoin de te lancer dans une longue\nfiction. Tu peux aussi t'en servir de journal\nintime, si tu veux.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nJe me disais juste qu'il te serait plus facile de\nlire quelque chose que tu as écrit toi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nC'est d'accord. Pour commencer, je vais écrire\nl'histoire de notre rencontre.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nDe tout ce que tu as vécu, c'est par cela\nque tu veux commencer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nBien sûr ! J'ai pensé que c'était un moment\nextraordinaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nTu parles bien de mes sanglots incontrôlables ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nSérieusement, c'était mémorable. Je revois\nencore la moindre de vos larmes couler sur\nvotre visage.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nブシュロン\nHmm, eh bien, du moment que tu me laisses\nle lire un jour...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nPromis. Quand j'en aurai fini, vous serez le\npremier à poser les yeux sur mon chef-d'œuvre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nMais je vous mets en garde, ce sera un vrai\ntire-larmes !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nJe garderai toujours un mouchoir propre\nsur moi, au cas où.\x0E\x04\x00\x00
