MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVander, je te dois des excuses.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDes excuses ? À quel titre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai commis une grave erreur.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi j'étais arrivé à Lythos plus rapidement,\nSa Majesté Lumera serait toujours parmi nous.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe sais à quel point tu étais attaché à la reine.\nJe suis navré qu'elle ne soit plus là.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nVous faites erreur, Prince Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nMais s'il faut pointer les responsabilités, je suis\naussi coupable que vous. Et même davantage,\nen ma qualité d'ancien vassal.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nAlors rassurez-vous, vous n'avez nulle raison\nde vous confondre en excuses.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais je...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nN'eussiez-vous pas été là, Prince Alfred, nous\naurions essuyé de bien plus lourdes pertes.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nIl me semble que j'ai de nombreuses raisons de\nvous remercier, et aucune de vous blâmer.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa foi, si tu le dis. Je suis content\nd'avoir été utile.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt, euh... Verrais-tu un inconvénient à ce que\nje revienne te voir ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nAucun. Nous partagerons d'autres souvenirs des\njours heureux où Sa Majesté Lumera était là.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nDes jours heureux, dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nOui. Je pense que Sa Majesté Lumera\npréférerait ça plutôt que de nous voir\nressasser nos échecs.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQuand j'étais petit, Sa Majesté Lumera m'a\nun jour offert des fleurs pour mon anniversaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe superbes fleurs blanches. Mais ne me\ndemandez pas comment elles s'appelaient.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nProbablement des fleurs sauvages. Sa Majesté\nLumera rayonnait de bonheur en les cultivant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nDes fleurs sauvages. Bien, je tâcherai\nde m'en souvenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSa Majesté Lumera m'en a également offert\nun jour.\x0E\x04\x00\x00
