MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nOh Bunet, alleeeez !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nDésolé Chloé, mais je ne peux pas.\nEt d'ailleurs, je refuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nOh, allez... Personne d'autre ne pourrait\nle faire, ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nMa réponse est définitive.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nPffff...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nChloé, j'ai certains principes dans la vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nEt le premier, c'est de m'efforcer de\npréserver la dignité des ingrédients\nde ce monde.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nJe refuse de les corrompre pour en faire\nun... un... un de ces plats vulgaires qu'on\nsert dans les bouis-bouis !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nJe ne peux pas vous laisser dire des horreurs\npareilles ! La cuisine de rue est une forme\nd'art à part entière !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nIl s'agit de plats uniques, cuisinés sans\nfaire de chichis, avec des ingrédients peu\ncoûteux ou particuliers, voire les deux.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nImaginez le résultat, si un chef d'envergure\nmondiale comme vous s'y essayait !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nNon. Demandez à quelqu'un d'autre.\x0E\x04\x00\x00
