MID_WU_C_1_IN_#001	Me voici...
MID_WU_C_1_IN_#002	Prête à vous tirer hors du lit !
MID_WU_C_1_SOON_#001	Je suis impressionnée.
MID_WU_C_1_SOON_#002	Vous avez détecté ma présence\ndans votre sommeil.
MID_WU_C_1_SOON_#003	Comment cela, elle était facile à détecter ?
MID_WU_C_1_SOON_#004	Voilà qui est bien discourtois...
MID_WU_C_1_WAKEUP_#001	Hé hé... C'est à moi de jouer !
MID_WU_C_1_WAKEUP_#002	Je me sens enfin membre de l'équipe.
MID_WU_C_1_WAKEUP_#003	Bien, un peu de courage...
MID_WU_C_1_WAKEUP_#004	Votre Divinité !
MID_WU_C_1_HELLO_#001	Vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_C_1_HELLO_#002	C'était distrayant !
MID_WU_C_1_HELLO_#003	Comment ? Si quelqu'un d'autre\npourrait se charger de cette tâche ?
MID_WU_C_2_IN_#001	Votre Divinité, on a besoin de vous !
MID_WU_C_2_IN_#002	Oh... vous dormez encore.
MID_WU_C_2_SOON_#001	Je suis désolée.
MID_WU_C_2_SOON_#002	Je vous ai réveillé\x0E\x0A\x00\x06
MID_WU_C_2_SOON_#003	Je ferai plus attention la prochaine fois.
MID_WU_C_2_WAKEUP_#001	Hmm... Je vous croyais déjà levé\x0E\x0A\x00\x06
MID_WU_C_2_WAKEUP_#002	Je vais préparer vos habits.
MID_WU_C_2_WAKEUP_#003	Voilà...
MID_WU_C_2_WAKEUP_#004	Oh ! Ah !
MID_WU_C_2_HELLO_#001	Mes excuses.
MID_WU_C_2_HELLO_#002	Je me suis pris les pieds\ndans la tenture de votre lit...
MID_WU_C_2_HELLO_#003	Faites très attention en vous\nlevant, Votre Divinité.
MID_WU_C_2_HELLO_#004	Ha ha ha... Ha ha...
MID_WU_B_1_IN_#001	Vous devez absolument...
MID_WU_B_1_IN_#002	goûter cette soupe !
MID_WU_B_1_IN_#003	Oh, vous dormez.
MID_WU_B_1_SOON_#001	Je voulais vous faire goûter\ncette soupe à l'ail...
MID_WU_B_1_SOON_#002	Oh, le moment est mal choisi ?
MID_WU_B_1_SOON_#003	Je reviendrai plus tard, dans ce cas.
MID_WU_B_1_WAKEUP_#001	J'apprécie de pouvoir partager\navec vous ma collation...
MID_WU_B_1_WAKEUP_#002	et je tenais à vous faire goûter cette soupe.
MID_WU_B_1_WAKEUP_#003	Ha ha, ce sera pour une autre fois.
MID_WU_B_1_HELLO_#001	Hmm... Hmm...
MID_WU_B_1_HELLO_#002	Oh, Votre Divinité !
MID_WU_B_1_HELLO_#003	Je vous avais préparé de la\nsoupe, mais le fumet était si...
MID_WU_B_1_HELLO_#004	Je suis confuse...
MID_WU_B_1_HELLO_#005	Je crains avoir tout avalé\nen attendant votre réveil...
MID_WU_B_2_IN_#001	Réveiller le Dragon divin...
MID_WU_B_2_IN_#002	est de loin ma tâche favorite.
MID_WU_B_2_SOON_#001	Oh, mes services ne sont pas requis ce matin...
MID_WU_B_2_SOON_#002	J'ai pourtant plaisir à vous réveiller.
MID_WU_B_2_SOON_#003	La prochaine fois, pouvez-vous\nfaire semblant de dormir ?
MID_WU_B_2_WAKEUP_#001	Bien. J'ai la responsabilité de vous réveiller.
MID_WU_B_2_WAKEUP_#002	Je vais tenter de le faire en douceur...
MID_WU_B_2_WAKEUP_#003	Votre Divinité ? Oh, Votre Divinité...\nIl est l'heure...
MID_WU_B_2_HELLO_#001	Bonjour.
MID_WU_B_2_HELLO_#002	Je m'apprêtais à murmurer\nà votre oreille pour vous réveiller...
MID_WU_B_2_HELLO_#003	Oh ? Cela vous aurait plu ?
MID_WU_A_1_IN_#001	Je suis vraiment désolée...
MID_WU_A_1_IN_#002	J'arrive trop tard pour partager\navec vous une collation.
MID_WU_A_1_SOON_#001	Je tenais à vous prévenir, toutefois...
MID_WU_A_1_SOON_#002	je vois que vous voulez rester au lit.
MID_WU_A_1_SOON_#003	Je vais manger quelque chose, et je reviens !
MID_WU_A_1_WAKEUP_#001	J'espérais pouvoir partager\navec vous un petit en-cas...
MID_WU_A_1_WAKEUP_#002	mais ne vous en faites pas.
MID_WU_A_1_WAKEUP_#003	Vous voir dormir ainsi sereinement\nme donne, moi aussi, envie de...
MID_WU_A_1_WAKEUP_#004	Ahouuu...
MID_WU_A_1_HELLO_#001	Ron... piche...
MID_WU_A_1_HELLO_#002	Ah... Oh ! Je me suis assoupie !
MID_WU_A_1_HELLO_#003	Que diriez-vous de vous dégourdir\nun peu ? Oh, mais attendez...
MID_WU_A_1_HELLO_#004	je crois avoir oublié quelque chose.
MID_WU_A_1_HELLO_#005	Ah ! Mon esprit me joue des tours !
MID_WU_A_2_IN_#001	C'est une joie de réveiller\nainsi le Dragon divin.
MID_WU_A_2_IN_#002	Comme dans mon ancien monde...
MID_WU_A_2_SOON_#001	Bonjour !
MID_WU_A_2_SOON_#002	Vous voir ainsi vous réveiller...
MID_WU_A_2_SOON_#003	ravive de précieux souvenirs...
MID_WU_A_2_SOON_#004	du Dragon divin que j'ai connu.
MID_WU_A_2_WAKEUP_#001	Quand la reine Lumera était encore en vie...
MID_WU_A_2_WAKEUP_#002	je venais souvent réveiller le Dragon divin.
MID_WU_A_2_WAKEUP_#003	Mais après son accession au trône,\nj'ai rarement eu ce privilège.
MID_WU_A_2_HELLO_#001	Vous voilà réveillé\x0E\x0A\x00\x06
MID_WU_A_2_HELLO_#002	C'est merveilleux de vous\nvoir dormir si profondément.
MID_WU_A_2_HELLO_#003	Si cette tâche ne m'incombait pas...
MID_WU_A_2_HELLO_#004	comment occuperais-je mes matinées ?
MID_WU_S_1_IN_#001	Cher Dragon divin...
MID_WU_S_1_IN_#002	je suis ici pour vous réveiller !
MID_WU_S_1_SOON_#001	Vous vous réveillez sans délai.
MID_WU_S_1_SOON_#002	Ha ha ha !
MID_WU_S_1_SOON_#003	Je suis heureuse...
MID_WU_S_1_SOON_#004	Nous formons une merveilleuse famille.
MID_WU_S_1_SOON_#005	J'espère qu'il en sera toujours ainsi.
MID_WU_S_1_WAKEUP_#001	Oh, vous ne réagissez pas...\nmalgré toute ma dévotion ?
MID_WU_S_1_WAKEUP_#002	Je me sens bien seule.
MID_WU_S_1_WAKEUP_#003	Si vous n'ouvrez pas l'œil...
MID_WU_S_1_WAKEUP_#004	Je chercherai un autre\ndragon à réveiller !
MID_WU_S_1_WAKEUP_#005	Mais non, qu'allez-vous imaginer...
MID_WU_S_1_WAKEUP_#006	Vous êtes irremplaçable à mes yeux.
MID_WU_S_1_WAKEUP_#007	J'apprécie trop votre compagnie !
MID_WU_S_1_HELLO_#001	Alors, appréciez-vous votre réveil ?
MID_WU_S_1_HELLO_#002	Vraiment ? Vous êtes heureu\x0E\x0A\x00\x0A\x02x\x04se ?
MID_WU_S_1_HELLO_#003	Ah, c'est merveilleux !
MID_WU_S_1_HELLO_#004	Moi aussi, je suis heureuse...
MID_WU_S_1_HELLO_#005	en voyant votre sourire.
MID_WU_S_2_IN_#001	Bonjour, \x0E\x0A\x00H le grand dormeur$la grande dormeuse.
MID_WU_S_2_IN_#002	Vous avez besoin de mon aide, aujourd'hui...
MID_WU_S_2_SOON_#001	C'est gentil de me faciliter la tâche.
MID_WU_S_2_SOON_#002	Toutefois...
MID_WU_S_2_SOON_#003	j'apprécie sincèrement m'occuper de vous.
MID_WU_S_2_SOON_#004	Faites-moi confiance...
MID_WU_S_2_SOON_#005	je serai toujours là pour vous.
MID_WU_S_2_WAKEUP_#001	Vous avez l'air si paisible\nlorsque vous dormez...
MID_WU_S_2_WAKEUP_#002	Moi aussi, à l'avenir...
MID_WU_S_2_WAKEUP_#003	j'aurai peut-être besoin de votre aide...
MID_WU_S_2_WAKEUP_#004	J'espère que vous me pardonnerez.\nNous sommes une famille, après tout.
MID_WU_S_2_WAKEUP_#005	Cet incroyable lien si fort qui nous unit...
MID_WU_S_2_WAKEUP_#006	Vous, le Dragon divin,\net moi, un dragon mage.
MID_WU_S_2_WAKEUP_#007	Vous êtes ma véritable famille désormais.
MID_WU_S_2_WAKEUP_#008	Je suis si heureuse...
MID_WU_S_2_WAKEUP_#009	de détenir cet Anneau du Pacte.
MID_WU_S_2_HELLO_#001	Ah...
MID_WU_S_2_HELLO_#002	Vous êtes ch\x0E\x0A\x00\x0E\x04er\x06ère à mon cœur.
MID_WU_S_2_HELLO_#003	Ne rougissez pas.
MID_WU_S_2_HELLO_#004	J'aime à vous voir chaque matin...
MID_WU_S_2_HELLO_#005	et votre bonheur est mon\nunique préoccupation.
