MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVous êtes Boucheron de Firene, n'est-ce pas ?\nVous m'avez tout l'air d'une force de la nature.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nVoilà pourquoi moi, Kagetsu d'Elusia,\nvous provoque de mesurer vos capacités\naux miennes !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nVous êtes amateur de compétences.\nJ'accepte volontiers.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nÀ la bonne heure ! Dans ce cas, laissons\nparler les armes !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nHa ! Yah !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nHa ha, joli ! Mais il va falloir frapper plus fort !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nOuf ! Ce duel fut époustouflant !\nMais c'est assez pour aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nC'était tout à fait exaltant ! Vous ne m'avez\npas déçu.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nVotre masse musculaire vous confère certes\nune grande puissance, mais vous n'en esquivez\npas moins avec grande vivacité.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nVous vous êtes bien défendu, vous aussi.\nVous employez des techniques que je n'ai\njamais vues, difficiles à bloquer.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nVous ne les connaissiez pas ? C'est sûrement\nparce que je les ai apprises dans ma contrée\nd'origine !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nVous ne venez donc pas d'Elusia ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nJe n'y suis pas né, non. Ma patrie, dont\nla culture est pareille à nulle autre, se trouve\nfort loin d'ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nVoilà qui semble fascinant ! Racontez donc !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nPour cela, vous devrez m'affronter à\nnouveau ! Je ne révèle jamais mes secrets\nsans contrepartie.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nTrès bien. Comptez sur moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nBien ! J'ai hâte d'être à notre prochain duel.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nJ'entends bien m'y préparer !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPardonnez-moi de vous avoir fait attendre.\nJ'espère que cela ne remet pas en cause\nnotre profond lien d'amitié.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\n« Notre profond lien d'amitié », vraiment ?\nNous avons seulement croisé le fer une fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nIl n'est pas de lien plus solide que celui qui\nse tisse les armes à la main !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nEn va-t-il ainsi dans votre terre natale ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nBien sûr, et c'est tout naturel ?\nEst-ce différent dans votre contrée ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nUn peu, oui.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nDans ce cas, comment y exprimez-vous\nvotre amitié ? Voulez-vous me brasser ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nVous brasser ? Que voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nJe parle du fait d'appliquer ses lèvres sur celles\nd'une personne dont on se sent proche...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nAllons, je vous y autorise !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nSe brasser... en appliquant ses lèvres sur celles\nd'une personne dont on se sent proche...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nOh ! S'embrasser, vous voulez dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nC'est cela même ! Allons, venez vite\nm'embrasser !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nImpossible, j'en ai peur. On embrasse ainsi une\npersonne dont on est amoureux, mais pas un\nami.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nVraiment ? Les cultures des autres pays\nme sont si peu familières...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nMais trêve de plaisanteries, il est temps de\npasser à l'entraînement !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nVous... vous plaisantiez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nÀ l'évidence ! On ne brasse pas ses amis,\nchacun le sait.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nVous vous êtes joué de moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nHa ha, si vous êtes en colère, exprimez celle-ci\ndurant notre combat !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nVous l'aurez voulu. Je n'ai pas l'intention\nde retenir mes coups !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nJ'aime cette expression déterminée !\nAllez, venez !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nUn pur bonheur ! Encore une séance\nd'entraînement d'exception !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nEn effet ! Quelques passes d'armes en votre\ncompagnie remplacent avantageusement mes\nséances d'entraînement habituelles.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nDe même.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nJe sens qu'un fort lien d'amitié nous unit,\nmême si vous, vous ne le percevez pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nVous ne voulez sans doute pas être mon ami,\nmais moi, je suis comblé de joie à la simple idée\nd'être votre partenaire de duel.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nVoyons, vous vous méprenez ! Je ne demande\npas mieux que d'être votre ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nAlors...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nAlors ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nQuand me parlerez-vous de votre terre natale ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\nLà d'où je viens, c'est en partageant des détails\nsur leur vie respective que les gens cultivent\nune amitié.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nHmm. C'est donc ce que je vais faire.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nLe peuple de ma contrée cultive l'esprit du\n« wa ». Les gens sont sages et paisibles,\nriz et poisson sont succulents.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nブシュロン\nAh... Parlez-moi de votre famille !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nMon père est un épéiste accompli. Ma mère\nest une prêtresse aux mystérieux pouvoirs.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nMmm... C'est donc de votre père que vous tenez\nvos talents de bretteur.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nPeut-être...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nLes voyez-vous souvent ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nNon... Je les ai abandonnés lorsque j'ai quitté\nma contrée.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nPour résumer, je n'ai pas su résister à mon désir\nde connaître le monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nIls ne vous manquent pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nSi, bien sûr. Mais je ne peux les retrouver pour\nl'instant. Je ne rentrerai que lorsque j'aurai...\nmûri.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nJe ne peux rentrer que couvert de gloire. Ainsi\nseulement comprendront-ils pourquoi il me\nfallait les abandonner.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nQue vous arrive-t-il ? Pourquoi pleurez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nDéjà tout à l'heure, tandis que nous\nferraillions...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nJ'ai compris que malgré votre air insouciant,\nvous deviez porter un lourd fardeau.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nAllons, arrêtez. Vous allez me faire pleurer,\nmoi aussi...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nSi nous pleurons, nous allons devoir nous\nbrasser ! Allons, prenez vos responsabilités\net hâtez-vous de me brasser.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06カゲツ\nJe veux dire embrasser ! Là d'où je viens,\nquand deux personnes pleurent, elles doivent\ns'embrasser par la suite. Allons, vite !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nMais enfin ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06カゲツ\nHa ha, je vous fais marcher, mon ami ! Il n'y a\npas de mal à s'amuser un peu, entre camarades\nde longue date !\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nブシュロン\nHa ha ha ha !Il ne faudrait pas que ça devienne\nune habitude !\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nVoulez-vous reprendre le combat ? Si vous me\nbattez, je vous révèlerai autre chose sur moi\net ma contrée.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0C\nブシュロン\nFort bien. Si c'est moi qui m'incline, alors\nje vous révèlerai quelque chose à mon tour.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x08\x06カゲツ\nQue d'enjeux ! En garde !\x0E\x04\x00\x00
