MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEnfin. J'ai fini par maîtriser ce pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x02\x0A\x08パンドロ\nSeadall, vous bougez avec... une telle grâce.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nRien de plus normal. C'est mon métier,\nde danser.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nQuand je vous vois exécuter ces pas, j'ai envie\nde me mettre à gigoter aussi.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nÇa vous dirait ? Vous voulez danser avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nBien sûr, si cela vous fait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x04\x03\x04
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nEt une conclusion dans les règles de l'art, une !\nCette chorégraphie restera dans les annales\ncomme la meilleure de l'histoire !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nEh, Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nJe n'ai jamais dansé... comme ça. Nos gestes...\nétaient à contre-temps. De A à Z.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nRien d'étonnant à ce qu'on l'appelle la danse\ndes ténèbres. Quelle danse atroce.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nVous trouvez ? Moi, j'ai adoré.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nVous avez adoré ? Vous vous contentez\nde cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nHum... Qu'est-ce que vous voulez dire par\n« me contenter » ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nJ'ai cru comprendre que vous aimiez danser.\nEh bien, si vous voulez vraiment vous consacrer\nà cet art, il va falloir travailler.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nHmm... Alors c'est comme ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nOui, et pas autrement. Mais ne vous en\nfaites pas, je vous apprendrai à danser\nconvenablement.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nTrès bien, puisque vous insistez !\nÇa m'étonnerait que je mette longtemps\nà prendre le coup de main.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nUn, deux, trois, quatre, cinq, six, sept, huit.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nDeux, deux, trois, quatre, cinq, six, sept, huit.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nArghhhh !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nSeadall, vous comptez de travers ! Ça me fait\nperdre le rythme !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nNon. C'est vous qui n'êtes pas dans le temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nJ'y peux rien ! Je danse sur mon rythme\npersonnel depuis trop longtemps.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nHmm... On va devoir vous débarrasser de vos\nvieilles habitudes et repartir sur des fondations\nsolides.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nVous voulez dire que je peux pas danser\ncomme je veux ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nJ'en suis navré, mais non. Et je dis cela\npour votre bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nVous savez, à mes débuts, je ne pouvais pas\nenchaîner deux pas. Mais mon maître a\ntravaillé avec moi sans se décourager.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nParfois, l'entraînement était si dur que\nje voulais fuir à toutes jambes. Mais\naujourd'hui, je lui en suis reconnaissant.\x0E\x04\x00\x00
