MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nTu sais que tu es mignon, Rosado ?\nJe l'ai toujours pensé.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nAh, tu me flattes ! Merci !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nEt puis tu es adorable quelles que soient les\ncirconstances... Je t'admire. Tu me confies\nton secret ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nHmm... Je n'en ai pas vraiment.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nDisons que j'essaie juste de faire ressortir\nl'être que je suis à l'intérieur.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nC'est tout ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nOui. L'apparence a son importance, mais\nla vraie beauté est intérieure.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nL'ensemble le plus avant-gardiste n'est rien\nsi tu le portes sans y croire. Tu dois avoir\nconfiance en toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nHm... Ça explique pourquoi je ne suis pas\nmignonne. Il doit y avoir quelque chose qui\ncloche en moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nQuoi ? Lapis, tu es magnifique.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nNon ! Je n'ai aucune confiance en moi.\nÀ vrai dire, j'ai énormément de complexes.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nPar exemple, il m'arrive de manger de l'herbe\net des plantes, et puis je suis d'une force qui\nconfine au grotesque...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nJe n'ai pas tout suivi, mais à ta tête, je vois que\ntu es sérieuse. Ça te tient vraiment à cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nQuelle qu'en soit la raison, pourquoi on n'en\nparlerait pas ? Je t'écouterai avec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nVraiment ? Comme c'est gentil !\nJ'apprécie ton geste.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nEt je t'apprécie, toi !\nPasse me voir quand tu veux !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nHé, Rosado. Je peux te poser une question ?\nC'est au sujet de notre discussion de l'autre\nfois.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nOui, bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nTu as dit que le secret de la beauté, c'est\nla confiance en soi. Je voulais savoir... où\npuises-tu ta confiance en toi ?\x0E\x04\x00\x00
