MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Princesse Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrincesse Céline !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmm... Ouais... Ouais.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous serez coriace, mais j'ai pas l'intention\nde perdre.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nPardonnez-moi, mais... de quoi parlez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, vous êtes douée.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIl se pourrait même que vous soyez à ma\nhauteur, mais vous ne me verrez pas\nl'admettre en compétition.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe veux dire que vous ne me verrez jamais\ncapituler sur le champ de bataille !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nNous... Nous nous battons donc ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nOui ! Et je fermerai les yeux sur tout ce qu'il\nfaudra afin de pouvoir déclarer haut et fort...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrincesse Céline ! Vous n'avez aucune chance\ncontre moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vous vaincrai sur le plan du charme !\nEt tant que j'y suis, je vous vaincrai sur\ntous les autres plans !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi ! Voilà donc le véritable enjeu de vos\ndivagations. Vous êtes toujours en proie à\nde telles agitations...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nDes « agitations » ?\x0E\x04\x00\x00
