MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nDites-moi, Claude. J'ai entendu dire qu'on\nvous surnommait le Génie Tactique. Je serais\nravi\x0E\x0A\x00\x06
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08クロード\nEh ben, vous attaquez d'entrée les choses\nsérieuses ! Oubliez un instant le fracas des\narmes. Promenons-nous un peu pour discuter.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'ai du mal à décider quelle arme me convient\nle mieux. Comment avez-vous choisi, vous ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nディミトリ\nEh bien, la Relique de Héros transmise de\ngénération en génération dans ma famille était\nune lance. Le choix était déjà fait, pour moi...\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nLe jour où ce conflit se terminera,\nqu'avez-vous l'intention de faire ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nHmm... J'aimerais pouvoir prendre mon temps\npour voyager et découvrir le monde. Et aussi\nen profiter pour lire et dormir tout mon soûl.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais vous avoir à mes côtés, d'ailleurs.\nCeci dit, il nous faudra d'abord laisser le monde\npanser ses blessures.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nJe garderai à l'esprit votre aimable invitation,\npendant que nous nous efforcerons de faire\nadvenir le plus vite possible cet avenir de paix.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDame Edelgard, je souhaitais à nouveau vous\nremercier de faire bénéficier le Dragon divin\nde votre force.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nJe vous en prie, inutile de faire tant de\ncérémonie. Ne sommes-nous pas des alliés ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nMessire Vander, les enfants vous vouent une\ngrande admiration. J'aimerais beaucoup\ncompter vos talents dans mes rangs.\x0E\x04\x00\x00
