MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Le bonheur et la joie rappliquent !\nOn chantera et on fera les boutiques !♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Avec mes amis, on va passer du bon temps,\nEt danser, danser, les cheveux dans le vent !♪\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nBonjour, Princesse Timerra. Vous avez l'air\nde joyeuse humeur.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nHa ha ! Vous avez remarqué ? C'est parce que\nje vais en ville.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nToute seule ? Ni gardes, ni escorte ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nOuais, je la joue incognito. D'ailleurs, si ça\nvous tente, vous pouvez vous joindre à moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nMerci, ce sera pour une autre fois. C'est bientôt\nl'heure de mon entraînement.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nOh ! C'est vraiment dommage !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n♪J'ai même invité le prince D. à venir avec moi,\nmais il était trop occupé à muscler ses tibias !♪\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nLoin de moi l'idée de vouloir donner des leçons\nà d'autres membres de familles royales, mais...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSi vous trouvez le temps de pousser la\nchansonnette en dansant à travers la ville,\nvous devriez avoir celui de vous entraîner.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nL'un n'empêche pas l'autre.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nSans compter que le fait de frayer avec les\ngens ordinaires m'aide à devenir une meilleure\nprincesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nExactement comme l'entraînement fait de vous\nun meilleur prince. Vous me suivez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai bien peur que non. Si je m'entraîne, c'est\npour devenir plus fort et être mieux à même\nde protéger mon peuple.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\nC'est du pareil au même. Moi, je passe du temps\navec les habitants de la cité pour mieux pouvoir\nles protéger.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nAprès tout, on peut difficilement tenir des gens\nà l'abri du danger si on ne les connaît pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un point de vue intéressant. Je vais y\nréfléchir... pendant mon entraînement.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nVous êtes encore à vous amuser,\nPrincesse Timerra ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAh oui, et pas qu'un peu ! Laissez-moi deviner,\nvous revenez de l'entraînement ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nPas aujourd'hui. En fait, j'aimerais vous\naccompagner lors de votre prochaine escapade\nen ville, ça pourrait être instructif.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nOh, on va se balader ensemble aujourd'hui ?\nMerveilleux !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nVenez ! Je connais l'endroit parfait pour\ncommencer du bon pied.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIci ? Au vu de tous ? Que comptez-vous\ncommencer, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\n♪Aujourd'hui, je chante pour toute la planète !♪\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\n♪Diamant, vous aussi, chantez à tue-tête !♪\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nM-Moi ? Non, je ne... Euh, ce n'est pas ce\nque je...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\n♪Oh, voyez-vous ça ! Mais qui aurait pensé\nque le grand prince fût une poule mouillée ?♪\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis le prince héritier de Brodia. Je ne suis\nPAS une poule mouillée.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nLaissez-moi juste, euh... Hum !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n♪Oh, Brodiaaa, terre fertile, terre de puissance,\nLes méchants, euh... n'ont aucune chance...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n♪Oh non ! La foule me fixe sans relâche,\nPrincesse Timerra, c'est où que je me cache ?♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪Continuez à chanter ou bien je me fâââche...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x04\x03\x04
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\n... C'était infiniment plus ardu que mon\nentraînement militaire habituel...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nTrès bien. Alors, ça vous inspire quoi, de faire\nles choses à ma façon pour une fois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est ainsi que vous communiquez avec votre\nroyaume ? Et vous agissez tout le temps de\nla sorte ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous confesse... que cette mise à l'épreuve\nm'a galvanisé. C'était comme une bouffée\nd'air frais.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nCeci dit, je ne suis probablement pas fait pour\népouser vos conceptions du commandement.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nIl me semble que je servirai mieux mon peuple\nen jetant ma force physique dans la bataille.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nCertes, certes. À chacun ses points forts,\net cætera, et cætera.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nMerci de m'avoir laissé vous accompagner,\nPrincesse Timerra. C'était très divertissant.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nミスティラ\nMoi aussi, je me suis bien amusée ! On a des\nstyles très différents, mais au final, on fait une\nbonne équipe.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrince Diamant, ça vous ennuie si\nje m'entraîne avec vous aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNullement, mais je préfère vous prévenir...\nMon entraînement peut être très brutal.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nEh, je ne suis pas juste bonne à pousser la\nchansonnette ! C'est pas du jus de navet qui\ncoule dans mes biceps, je vous signale !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTiens donc ? Dans ce cas, commençons\nsans plus attendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nBien ! Nous en sommes à la moitié. Il est temps\nde souffler un instant.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nPff, pff, pff...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nVous... n'exagériez pas... en disant que...\nc'était brutal...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nJ'ai ouvert... ma grande bouche, mais...\nje suis... complètement vidée...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'arrive pas à croire que vous ayez tenu\njusque-là ! La plupart des gens auraient laissé\ntomber depuis longtemps.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nAvec une telle endurance, essayez d'imaginer\nce qu'un entraînement plus strict pourrait\nfaire de vous...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nMerci, mais... Je préfère continuer à faire\nles choses à ma façon, si vous n'y voyez\npas d'inconvénient.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nPffiou... Bon.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nDites, entre nous... Vous croyez que la paix\nfinira vraiment par s'installer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOh. Vaste question... qui me torture souvent\nmoi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nAu fond, je pense qu'en tant que meneurs\nd'hommes, il est de notre devoir de croire\nen une paix future.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nSi nous ne nous battons pas pour assurer\nun tel avenir à nos peuples, qui le fera ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nVous avez raison. C'est justement parce que\nl'avenir est incertain que nous devons nous\nbattre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nJe vais vous dire une chose, cette conversation\nme donne de l'espoir pour les temps à venir.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nTant mieux. Nous sommes tous deux appelés à\nmonter sur nos trônes respectifs, alors si vous\néprouvez le besoin de parler, je serai toujours là.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nMerci. Du fond du cœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nBien, la pause est terminée, l'entraînement\nva reprendre. Vous vous sentez en mesure\nde continuer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nVous savez quoi ? Je viens d'avoir une\nexcellente idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nEt si on chantait pendant le reste de la course ?\nCe serait un défi amusant, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nAh ! Oui, sans doute. Par contre, euh...\nÀ vous l'honneur.\x0E\x04\x00\x00
