MID_PLACE_Filene	Firene
MID_PLACE_Brodia	Brodia
MID_PLACE_Ircion	Elusia
MID_PLACE_Solum	Solm
MID_PLACE_Lithos	Lythos
MID_PLACE_Gradron	Gradlon
MCID_M000_PREFIX	Prologue
MCID_M000	Les Emblèmes
MCID_M000_PLACE	Château de Lythos
MCID_M001_PREFIX	Chapitre 1
MCID_M001	Éveil tant attendu
MCID_M001_PLACE	Plaine de Lythos
MCID_M002_PREFIX	Chapitre 2
MCID_M002	La reine Lumera
MCID_M002_PLACE	Jardins du château de Lythos
MCID_M003_PREFIX	Chapitre 3
MCID_M003	Hostilités
MCID_M003_PLACE	Chambre des Anneaux
MCID_M004_PREFIX	Chapitre 4
MCID_M004	Une terre fleurie
MCID_M004_PLACE	Florra
MCID_M005_PREFIX	Chapitre 5
MCID_M005	Reconquête du château
MCID_M005_PLACE	Château de Firene
MCID_M005_OUTLINE	Apprenant l'invasion du château de\nFirene par Elusia, le groupe se hâte\nde rejoindre la reine Ève.
MCID_M006_PREFIX	Chapitre 6
MCID_M006	L'anneau dérobé
MCID_M006_PLACE	Village de montagne
MCID_M006_OUTLINE	Le groupe se rend dans un\nsanctuaire renfermant l'Anneau\nde la Fille de l'Aube.
MCID_M007_PREFIX	Chapitre 7
MCID_M007	L'Emblème Noir
MCID_M007_PLACE	Grand passage
MCID_M007_OUTLINE	Le groupe tente de franchir la\nfrontière pour obtenir l'anneau\nconfié au royaume de Brodia.
MCID_M008_PREFIX	Chapitre 8
MCID_M008	Le royaume des guerriers
MCID_M008_PLACE	Château de Brodia
MCID_M008_OUTLINE	Après avoir repoussé les Elusiens,\nl'armée du Dragon divin atteint sa\ndestination : le château de Brodia.
MCID_M009_PREFIX	Chapitre 9
MCID_M009	Le conflit des puissants
MCID_M009_PLACE	Fort à la frontière
MCID_M009_OUTLINE	L'armée du Dragon divin et le roi\nMorion vont à la rencontre du roi\nHyacinth à la frontière d'Elusia.
MCID_M010_PREFIX	Chapitre 10
MCID_M010	Sombron le Dragon déchu
MCID_M010_PLACE	Cathédrale de Destinea
MCID_M010_OUTLINE	L'armée du Dragon divin accourt\nvers la cathédrale de Destinea\npour sauver le roi Morion.
MCID_M011_PREFIX	Chapitre 11
MCID_M011	Retraite
MCID_M011_PLACE	Lande ombragée
MCID_M012_PREFIX	Chapitre 12
MCID_M012	Les Sentinelles
MCID_M012_PLACE	Désert de Tullah
MCID_M012_OUTLINE	Dépourvu de ses anneaux,\nle groupe se rend en Solm\npour reprendre pied.
MCID_M013_PREFIX	Chapitre 13
MCID_M013	Les héros de l'oasis
MCID_M013_PLACE	Village de l'oasis
MCID_M013_OUTLINE	L'armée du Dragon divin part\nen quête de Timerra et de l'Anneau\ndu Héros de l'Aube dans une oasis.
MCID_M014_PREFIX	Chapitre 14
MCID_M014	Bataille pour Solm
MCID_M014_PLACE	Palais de Solm
MCID_M014_OUTLINE	Ayant eu vent de l'attaque\nd'Hortensia, le groupe rentre\nprécipitamment au palais de Solm.
MCID_M015_PREFIX	Chapitre 15
MCID_M015	Danseur dans les ruines
MCID_M015_PLACE	Forteresse du Nord
