MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nPrince Diamant ! Regardez ça, j'ai déniché\nune potion secrète légendaire !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nRenifler ne serait-ce qu'une vapeur de ce flacon\nsuffirait à vous faire dévoiler vos sentiments les\nplus enfouis...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMerveilleux. Nous nous en servirons pour\nextorquer des informations à nos ennemis.\nBeau travail, Amber !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nMerci ! Je vais de ce pas le mettre en sûreté.\nIl ne faudrait pas qu'un incident se...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nAaaargh !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh. Adieu, précieux flacon. Tu n'as rien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nPrince Diamant... Je... Je ressens le besoin\nde laisser parler mon cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nOh non. Tu as dû inhaler les vapeurs de\ncette potion.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nPrince Diamant... Merci de m'avoir\naccepté en tant que vassal.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nSi vous n'aviez pas été là... Je travaillerais\nsans doute dans une écurie d'alpagas.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nJe vous suis si reconnaissant, en plus\nde vous respecter. Oui, je vous respecte\ntellement...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nJe crois que personne ne vous arrive à\nla cheville, parce que... parce que vous...\nOh. Oooh.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAmber ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nComment vous allez, Prince Diamant ?\nEuh, est-ce que j'ai dit quelque chose ?\nJe me sens vaseux...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nTu ne te souviens de rien ? La potion a\nfonctionné. Tu étais en train d'épancher\nton cœur à l'instant.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nQuoi ? Non ! Qu'est-ce que j'ai raconté ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nHum... Il serait un peu gênant de le répéter,\npour être franc. Nous en reparlerons\nplus tard.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nOh. Évidemment. Entendu. À, euh...\nÀ plus tard, alors.\x0E\x04\x00\x00
