MID_WU_C_1_IN_#001	Pardonnez-moi.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Vous vous réveillez si vite.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	C'est pratique en cas d'attaque.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Je vous laisse tranquille.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Je suis réticente à entrer ainsi...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Mais c'est mon devoir.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Votre Divinité... Votre Divinité ?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Bonjour.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Ce n'est que moi.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Ce réveil est-il trop formel pour vous ?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Toutes mes excuses.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	« La guerrière s'approcha de l'autel... »\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	« Et le Dragon divin fut promptement\nréveillé par le bruit de ses pas. »\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Bonjour, Votre Divinité.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	« Profondément endormie, la silhouette\nsur l'autel semblait figée dans le temps... »\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	« Sans crier gare, la guerrière provoqua\nun horrible fracas, brisant la sérénité... »\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ha, impossible.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	« La guerrière parla...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	invitant le Dragon divin à se réveiller. »\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Bonjour. Comment vous\nsentez-vous aujourd'hui ?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Hum, quel endroit paisible...\nC'est idéal pour la méditation.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Désolée de perturber ce silence.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Il est presque l'heure. Préparez-vous à partir.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	J'ai un peu de temps libre... Je vais méditer.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Aller au-delà des pensées matérielles...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ah, une idée pour ma prochaine comédie...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Ah, vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_B_1_HELLO_#002	Je vais m'en aller.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Je dois noter cette idée avant de l'oublier...\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	« La guerrière entendit\nle Dragon divin sommeiller... »\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Bonjour.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Le coucher de soleil d'hier était\nmagnifique, comme vous l'aviez dit.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Il fera peut-être aussi beau aujourd'hui.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Vous êtes si gentil\x0E\x0A\x00\x08
