MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nVous faites montre d'une assurance pour le\nmoins admirable, Lyn. Ce doit être le fruit\nd'une vie aussi riche qu'authentique.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04リン\nVous savez, je ne fais que vivre au gré du\nvent, en suivant mon cœur. Mais je vous\nremercie pour ce compliment.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nPardonnez-moi, Nel, mais quand je vois la\nquantité de plats épicés que vous ingurgitez,\nj'en reste sans voix.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIl n'y a là aucune raison de vous inquiéter, c'est\njuste que je suis incapable d'apprécier la saveur\nd'un plat s'il n'est pas suffisamment relevé.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nMerci pour votre aide lors de notre précédent\ncombat. Pouvoir ainsi frapper l'ennemi tout en\nrestant à distance est une bénédiction.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04リン\nOn a tous nos propres atouts, et je me ferai\nun plaisir de vous prêter les miens le plus\nsouvent possible.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nVos talents sont à ce point remarquables qu'ils\nme font prendre cruellement conscience de mes\npropres faiblesses.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04リン\nJe n'en manque pas moi non plus, comme tout\nle monde. C'est bien pour ça qu'on doit pouvoir\ncompter les uns sur les autres.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nVotre maîtrise de l'arc est sans pareille, je\nm'estime heureux de ne pas compter parmi\nvos ennemis.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04リン\nMerci, c'est très gentil. Vous avez brillé\nsur le champ de bataille, vous aussi.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nJe brûle de savoir d'où provient votre force.\nJe vous en prie, où avez-vous donc acquis\nde telles aptitudes ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04リン\nJe pense que je le dois à ma vie dans\nles plaines, où le gibier et les bandits\nne manquaient jamais.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nIl est donné à chacun d'aiguiser ses talents en\ns'exerçant, mais je suis convaincu que votre\narc renferme une force supplémentaire.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nVotre esprit indomptable imprègne chacune\nde vos flèches, votre arme est comme un\nprolongement de vous-même.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04リン\nJe me livre rarement à de telles introspections,\nmais j'admets qu'il y a une part de vérité. Je\nvise bien plus mal quand je suis contrariée.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x06\x04リン\nJe révèle sans doute tout mon potentiel\nquand j'ai des amis sur lesquels compter.\nComme vous, par exemple.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai le sentiment que nous allons nous\nentendre à merveille, vous et moi, et\nmon instinct se trompe rarement.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04リン\nJe pensais justement la même chose, Zelestia.\nJe sais à quel point vos amis comptent pour\nvous, et c'est tout à votre honneur.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVous voir tirer à l'arc est un émerveillement\npermanent, Lyn. Vos flèches semblent suivre\nvos ennemis comme par magie !\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x06\x04リン\nJe vous remercie. Je tâcherai de toucher mes\ncibles avec encore plus de précision lors de\nnos prochains combats !\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis heureuse d'avoir pu combattre à vos\ncôtés. Nous sommes différentes, j'en conviens,\nmais vous êtes pour moi une amie précieuse.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04リン\nJe suis touchée. C'est justement l'amitié qui\nme donne la force d'affronter le danger et de\nrelever tous les défis.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04リン\nC'est pareil pour vous, n'est-ce pas ? Je le\nvois à la manière dont vous défendez corps\net âme le Dragon divin et les autres Zéphyrs.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis ravie que nous ayons cela\nen commun, et sachez que je vous\ndéfendrai avec la même ardeur.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJ'apprécie votre façon de combattre, en restant\nsuffisamment à distance pour permettre une\nfuite rapide. On va bien s'entendre, vous et moi.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04リン\nJe n'ai pas choisi l'arc pour mieux me dérober\nface au danger, mais je suis heureuse de vous\nsavoir si bien disposé à mon égard.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMalgré votre soutien, j'ai encore tremblé\ncomme une feuille. Désolé... je suis et\nje resterai toujours un lâche.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04リン\nJe ne vous ai jamais considéré comme un lâche.\nAu contraire, j'ai vu votre courage se révéler au\ngrand jour sur le champ de bataille.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nGregory, laissez-moi donc vous dire pourquoi\nje ne vous ai jamais considéré comme un lâche,\net pourquoi je ne le ferai jamais.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04リン\nSi vous êtes certes prudent, j'ai bien vu que ce\nn'était pas le combat qui vous tétanisait, mais la\npeur de mettre vos amis en danger.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nVous m'avez donc si bien observé ? Merci...\nJe suis flatté. Pas sûr que je puisse vous\nrendre la pareille un jour, mais...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nVous me trouvez courageux ? Eh bien soit,\nj'essaierai de l'être, ne serait-ce que pour\nvous donner raison.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLà, un insecte ! N'ayez crainte, je... Euh, je\nvais m'occuper de son cas. Juste le temps\nde prendre une grande inspiration, et...\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04リン\nC'est très courageux de votre part, mais inutile\nde vous faire violence. Tout le monde n'est pas\nforcément très à l'aise en présence d'insectes.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nJ'ai ouï dire que vous aviez vécu une existence\nnomade dans les plaines. Je comprends mieux\npourquoi vous ne craignez pas les insectes.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04リン\nVous savez, c'est une question d'habitude.\nÀ force d'en voir tous les jours, on apprend\nà reconnaître les spécimens dangereux.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nDame Lyn, je suis contrite. Un chevalier\nse doit de rester calme et serein en toute\ncirconstance, mais...\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04リン\nC'est encore au sujet de votre peur des\ninsectes ? Il n'y a vraiment pas de quoi\nen faire toute une histoire.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04リン\nLes faiblesses importent peu. Ce qui compte\nréellement, c'est d'être capable de rassembler\nvos forces et de faire de votre mieux.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nJe suis soulagée de vous l'entendre dire. Si l'on\ndoit seulement être jugé à l'aune de nos efforts,\nje n'ai aucune crainte à avoir !\x0E\x04\x00\x00
