MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nIl y a quelqu'un ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nPersonne ? À moins... que ce soit un fantôme ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nPourvu que ce ne soit pas un fantôme,\npourvu que ce ne soit pas un fantôme.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nPrincesse Ivy ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nAAAAHHH !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nTout va bien. Rien ne vous menace, je vous\nle jure. Ces ombres qui furètent dans les\nbuissons ne sont rien d'autre que des ombres.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nJ'ai... J'ai bondi d'effroi pour des ombres ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nC'est cela. Il n'y a nul fantôme à l'horizon.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nIl ne vous ressemble guère de confondre\ndes feuillages avec une menace. Vous êtes\nsûre que tout va bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nS'il vous plaît, gardez cela pour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nNul ne doit savoir que la future reine d'Elusia\na pris peur face à un simple végétal.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nOu pire encore, que le prince de Brodia\na dû se porter à son secours.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous comprends. Soyez tranquille,\nje serai muet.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nJe vous en suis redevable.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nIl me semble que vous devez composer\navec cette crainte depuis longtemps...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nTenez, Princesse Ivy. J'aimerais vous\noffrir ceci.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nQu'est-ce donc ? Une sorte de cristal ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est une gemme extraite des mines de\nBrodia. Elle confèrerait du courage à\nquiconque en éprouve le besoin.\x0E\x04\x00\x00
