MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nC'est étrange... Cela ne fait pas longtemps que\nnous combattons ensemble, et pourtant il me\nsemble que nous nous comprenons très bien.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nCela me fait plaisir de voir que vous partagez\nmon impression. Pourvu que notre collaboration\nnous permette de développer ce lien.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x02\x08\x06ルフレ\nJ'espérais bien avoir l'occasion de vous parler.\nJe crois que le lien qui s'est tissé entre nous\nétait en quelque sorte une volonté du destin.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nLe destin, hein... Quelle chance j'ai de voir un\ntacticien tel que vous se lier d'amitié avec moi !\nJ'ai hâte de pouvoir bavarder un peu plus.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x0A\x08リュール\nJe suis ravi\x0E\x0A\x00\x06
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06クロム\nIl est rare que Daraen abandonne ses livres et\nses patrouilles... Il doit vraiment vous apprécier.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルフレ\nIl semblerait que les combats que nous avons\nmenés en commun aient forgé de puissants\nliens entre nous trois.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nJ'en ai aussi l'impression. Pourvu que ces liens\nsoient assez forts pour nous aider à changer\nle cours du destin et de la guerre.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre présence sur le champ de bataille apporte\nun sentiment bienvenu de sécurité, Messire\nChrom. Je sais pouvoir compter sur vous.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06クロム\nJe saurai me montrer digne de cette confiance,\nchaque fois que vous en aurez besoin.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVander, cela fait-il partie de vos attributions\nd'arracher les mauvaises herbes et de déblayer\nles cailloux devant les pas du Dragon divin ?\x0E\x04\x00\x00
