MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nGregory, comment vas-tu ? Est-ce que\ntu as l'impression de t'habituer à ce monde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nIl me semble bien, oui... Ce monde est très\nsimilaire au nôtre, tout en étant très différent.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Et je crois que j'y suis plutôt acclimaté,\nmaintenant. J'espère juste que nous mettrons\nbientôt un terme à cette guerre.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nIl est vrai que ce monde n'est pas en reste\nsur les ennemis que nous devons affronter.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	En notre qualité de Quatre Zéphyrs, nous nous\ndevons de soutenir le Dragon divin, maintenant\nque nous sommes ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nJ'aurais tant aimé que Mauvier fasse\npartie du voyage...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nMoi aussi. C'est grâce à lui si nous sommes\ntoujours en vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nグレゴリー\nSans lui, on serait même pas ensemble !\nC'est lui qui a fondé les Quatre Zéphyrs.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Et pourtant, c'était le premier à partir.\nJ'aurais dû le forcer à me laisser prendre\nsa place.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nTu n'as pas le droit de dire ça. Mauvier voulait\nque nous continuions à vivre.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Il voudrait que nous perpétuions son œuvre.\nEt c'est pour cela qu'il t'a transmis son\nrôle de second.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nJe ne comprends toujours pas pourquoi\nil m'a désigné...\x0E\x04\x00\x00
