MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAh... La faim se fait sentir. Je ne dirais pas non\nà quelques onigiri.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nOh, Bunet ! Je ne vous ai même pas entendu\napprocher !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nVous venez d'appeler ces petites bouchées\ntriangulaires « onigiri », n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nC'est la première fois que j'en vois. De quoi\nsont-ils faits ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nServez-vous, vous verrez.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nVraiment ? Bon, si vous le dites.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nMmm... C'est exquis !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nUne boulette de riz délicatement salée et\nenveloppée d'une algue. Avec... du poisson\ngrillé, c'est bien cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nExactement ! C'est du saumon salé !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nJe vois. Un mets d'apparence banale mais qui\ncache un océan de saveurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nPuis-je vous demander de m'apprendre à\nles préparer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nCe serait avec plaisir, mais mes obligations en\ntant que vassal de la princesse Ivy ne m'en\nlaissent pas le temps.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nSi je néglige mes tâches pour vous enseigner\nla préparation des onigiri, elle risque de m'en\nvouloir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nC'est regrettable, mais je comprends tout à fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nIl ne me reste plus qu'à maîtriser l'art de\npréparer des onigiri par mes propres moyens.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nVotre passion est admirable ! Je goûterai\nvolontiers votre préparation quand vous en\nserez satisfait !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNaturellement, je compte sur vous pour juger\nsi j'aurai convenablement saisi l'essence de\ncette saveur.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nKagetsu ! C'est prêt.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nQu'est-ce qui est prêt ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nVous avez oublié ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nDepuis notre dernière discussion, je me voue\ncorps et âme à la préparation des onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nEn essayant divers ingrédients et en ajustant la\nteneur en riz... Je me suis consacré entièrement\nà cette tâche des jours durant.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nAprès moult tentatives, voici ce à quoi je suis\nparvenu.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nOooh... Ça m'a l'air délicieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nMais l'apparence ne fait pas tout ! Dites-moi\ndonc ce que vous avez mis à l'intérieur.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nEh bien, j'ai utilisé le fruit du dattier. C'est une\nspécialité solmoise, en quelque sorte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nLe fruit du dattier ? Voilà qui est original !\nJe ne connais pas cet ingrédient.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nGoûtez !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nJ'en ai bien l'intention !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nHm. Hm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nLes onigiri ne sont pas sucrés, habituellement...\nMais le résultat est intéressant ! Cela va bien\navec le riz.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nJe partage votre avis. J'ai beaucoup tâtonné\navant d'opter pour les dattes.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nC'est un vrai délice, félicitations ! Cependant...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nC'est davantage un ohagi qu'un onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ボネ\nUn oha-quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nSi je comprends bien, cette recette existe déjà ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nTout à fait ! Pour faire un ohagi, on roule du\nriz sucré que l'on recouvre de pâte de haricot\nrouge.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nJe comprends...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nDonc, en un mot, ce n'est pas un onigiri...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nTout de même un peu ! La forme correspond\ntout à fait à celle de l'onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ボネ\nMais ça a le goût d'un ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nC'est gentil de me ménager, mais je ne peux pas\nme contenter d'une pâle imitation.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nJ'ai encore beaucoup à apprendre.\nCombien de plats échappent ainsi à\nma science culinaire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nJe dois absolument creuser la question. Si vous\nvoulez bien m'excuser...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06カゲツ\nVos onigiri étaient délicieux, mais vous cherchez\ntout de même à vous améliorer davantage ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJe m'interroge, Bunet. Qu'est-ce qui vous\npousse à vouloir découvrir toutes ces recettes\ninconnues ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nJe souhaite devenir un artiste peintre de\nla bonne chère.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nPour exprimer ma vision, je me dois de puiser\ndans une large palette de saveurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nJe me croyais versé dans l'art de marier\nles couleurs culinaires les plus exotiques,\nmais hélas...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nJe ne connaissais même pas l'existence des\nohagi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nNous nous ressemblons beaucoup, à ce qu'il\nsemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nQu'est-ce que vous entendez par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nJ'ai quitté mon foyer pour tout apprendre sur\nle monde extérieur.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nMa recherche perpétuelle d'adversaires de\nplus en plus coriaces m'a permis d'élargir\nmes horizons.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nJ'ai connu ma première défaite au château\nd'Elusia. C'est alors que j'ai compris...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nJ'ai triomphé de nombreux adversaires de\nvaleur, mais il y en a encore tant d'autres\nqui m'attendent !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nHmm. Nous avons en effet plusieurs points\ncommuns.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nVous voulez devenir le plus grand guerrier au\nmonde, et moi le plus grand chef cuisinier.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nJ'ai eu la chance d'être nommé vassal de\nla princesse Ivy, et c'est un poste dont\nj'apprends beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nAujourd'hui, j'ai compris qu'il n'était pas\nnécessaire que je rencontre tous les grands\nguerriers de ce monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nNul ne peut espérer tout connaître un jour.\nJe peux essayer de maîtriser parfaitement\nmes aptitudes.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nVoilà de sages paroles. Je me demande si je suis\ncapable de suivre cette philosophie...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nBunet, ma décision est prise. Je vais vous aider\ndans votre quête de la parfaite maîtrise.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nSi vous le souhaitez, je peux vous enseigner\ntout ce que je sais de la cuisine de ma contrée\nnatale.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nLes Sables d'Opale sont isolés de tout, vous\nauriez donc grand mal à étudier leur cuisine\nde quelque autre façon.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nCe serait formidable, mais je croyais que vous\naviez des devoirs à accomplir en tant que\nvassal...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nCertes, mais nous sommes amis, vous et moi.\nEt je trouve toujours du temps pour mes amis !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nJe vous remercie, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nEn échange, je vais vous régaler avec\nmes onigiri.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nMais avec du poisson salé et des algues, cette\nfois. Comme le veut la tradition.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nTrès bien, mais j'en veux bien quelques-uns\naux dattes aussi. Ils étaient délicieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nHa ha ha ! Vos désirs sont des ordres !\nVous aurez affaire à un véritable festin !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x06\x04ボネ\nJ'ai hâte d'en apprendre davantage sur\nvotre culture.\x0E\x04\x00\x00
