MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\nBravo, mon grand ! Ce n'est pas tous les jours\nqu'on célèbre un événement comme celui-là !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nVous devriez m'acheter quelque chose pour\nmarquer le coup. Ne laissez pas passer ma\nréduc spéciale célébration !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nPardon ? Quel événement me faudrait-il\nfêter, exactement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nAllons, allons, ne faites pas l'innocent !\nNous savons tous les deux de quoi il s'agit !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nPas moi, en tout cas. Je n'en ai pas la moindre\nidée.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nMais comment donc ? C'est pourtant la date\nanniversaire d'un événement marquant dans\nvotre vie !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nJe ne suis pas plus avancé.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nAllez, faites un effort ! Vous l'avez sur le bout\nde la langue, j'en suis sûre ! Vous brûlez !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai pas la moindre idée de ce à quoi\ntu fais allusion.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nVraiment ? Dommage pour vous. Pas de réduc\nspéciale célébration pour vous sur ces fruits\nmagnifiques, dans ce cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nMettons que ce soit en effet la date anniversaire\nd'un événement important dans ma vie.\nComment le saurais-tu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nDétails que tout cela !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nTu tables sur le fait que cette journée évoque\ncertainement un souvenir plaisant à quelqu'un,\net tu en fais un argument d'achat.\x0E\x04\x00\x00
