MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nPouvons-nous compter sur vous pour nous\naider à ramener la paix dans ce monde ?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06アイク\nNe vous en faites pas. Je suis un mercenaire.\nQuand j'accepte un boulot, je le fais jusqu'au\nbout.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nJe manque encore de force. Ike, pourriez-vous\nme donner une leçon sur le terrain ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06アイク\nJe ne vaux pas grand-chose comme prof, mais\nje peux essayer. Toutefois, soyez prêt\x0E\x0A\x00\x06
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nVous vous améliorez. Vous avez bien\nplus de force qu'avant.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nJe le dois uniquement aux leçons que j'ai reçues\nde vous et des autres.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06アイク\nC'est faux. C'est vous qui avez presque tout\nfait. De notre côté, on vous a juste donné un\ncoup de main.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci quand même ! Grâce à vous tous,\nj'ai l'impression d'avoir une chance de rétablir\nla paix.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nComment je pourrais bien m'occuper ?\nJe déteste rester assis à ne rien faire.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSi une bataille se profile, je vous en aviserai.\nEn attendant, vous devriez vous détendre.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nEst-ce un sourire que je viens de voir ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIl n'y a nul lieu d'en être surpris. Il m'arrive\nde sourire, moi aussi.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nSi j'en juge par votre musculature, vous avez dû\nêtre un redoutable guerrier en votre temps.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe l'ai entretenue sans ménager mes efforts\npendant les longues années passées au service\nde Sa Majesté Lumera.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEt je serai à la retraite depuis longtemps\nle jour où un jeunot de votre acabit\ns'avisera de me distancer.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06アイク\nJe suis loin d'être un jeunot... Oh. Pardon,\nje comprends. Bref, si l'occasion se présente,\nj'aimerais bien croiser le fer avec vous.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nEn tant que serviteur du Dragon divin,\ncela ne vous gêne pas de vous battre\nà mes côtés plutôt qu'aux siens ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nPas du tout ! Je sers le Dragon divin à vos\ncôtés, Messire Ike, et c'est un véritable honneur.\x0E\x04\x00\x00
