MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrincesse Céline ? Vous veillez bien tard.\nY a-t-il quelque chose qui vous préoccupe ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nNon, tout va bien. Je ne parviens pas à trouver\nle sommeil, voilà tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nAh. Auriez-vous fait un cauchemar ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai rêvé que mon frère perdait la vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nCe songe revient souvent, d'ailleurs.\nJe l'ai fait nombre de fois depuis mon enfance.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nMon frère souffrait d'un mal chronique,\nvous savez.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEt encore aujourd'hui, je ne puis me départir\nde l'impression qu'il pourrait m'être ravi à\ntout moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nOh, Princesse Céline...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred se porte comme un charme,\nentendez-moi bien ! C'est la santé\nincarnée, désormais.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nOn peut le dire. Il ne manque pas de courage\nsur le champ de bataille. C'est impressionnant.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nEntre nous, je suis moi aussi en proie à\nde récurrents cauchemars...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nDes rêves où je perds mon frère Diamant,\npour être précis.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nOh ! Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nOui. C'est un sujet un peu sombre, alors\nje n'en ai jamais parlé à quiconque...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セリーヌ\nJe vois. Je serais heureuse de vous écouter,\nsi vous êtes désireux de vous épancher.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nMais il se fait tard, maintenant.\nUne autre fois, Prince Alcryst ?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nBien entendu. Je suis à votre disposition si\nvous éprouvez le besoin de discuter.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nEncore ces cauchemars, Princesse Céline ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nEst-donc si apparent ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nSi je ne m'abuse, vous faites vous-même\ndes songes dans lesquels vous perdez votre\nfrère, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nPardonnez ma curiosité... Mais depuis quand\nces rêves vous assaillent-ils ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nC'est assez récent. Ils ont commencé peu de\ntemps après que la guerre a éclaté contre\nle Dragon déchu...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nMon père m'a dit : « Si nous trépassons, ton\nfrère et moi, c'est à toi qu'il reviendra de\nprotéger notre royaume ».\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nUne telle perspective me semblait impossible\nà l'époque.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nMon puissant père et mon invulnérable aîné ?\nTrépasser au combat ? C'était absurde.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nMais les guerres... réservent leurs surprises.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nDésormais, je suis hanté par l'angoisse\ncroissante de voir mes cauchemars devenir\nréalité.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nEt si un adversaire l'assaillait par surprise ?\nEt si nous étions séparés et que jamais plus\nnous ne nous retrouvions ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nJe ne compte plus toutes les façons terribles\ndont Diamant m'a été ravi en songe...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nJe connais de pareils tourments. Il n'est aucun\ndésastre que j'imagine sans qu'il ne se présente\nà moi en rêve.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nMaintenant, au sortir de chaque cauchemar,\nje m'extirpe de mon lit et cours m'assurer\nque mon frère dort paisiblement.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nLe voir étendu de tout son long, pris d'un\ntonitruant ronflement... Cela apaise mes\nangoisses.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nJe suis heureuse que vous ayez du moins\ncet expédient.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMon frère s'éveille trop tôt pour que je puisse\nvous imiter. Il m'embrigaderait dans ses séances\nd'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nHa ha ! C'est drôle, j'aurais pensé que le voir\ncavaler en rond vous serait un soulagement.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi ! Cela y contribue, je le confesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nBien ! M'entretenir avec vous a dissipé mes\nfrayeurs. Je suis navrée de vous avoir inquiété.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nNe vous excusez pas. Si d'autres cauchemars\nviennent vous tourmenter et que vous désirez\nen parler, je suis à votre disposition.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nJe ne pourrai pas les chasser, mais...\nvous saurez du moins que vous n'êtes\npas seule.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セリーヌ\nMerci, Prince Alcryst. Cette pensée m'est\nun grand réconfort.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIl émane de ce thé un arôme charmant.\nEt son goût n'est pas en reste.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nEn effet ! Les feuilles de thé proviennent des\nmontagnes brodiennes. On dit qu'elles sont très\nefficaces pour trouver le sommeil.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nOh... Vous l'avez concocté spécialement pour\nmoi, n'est-ce pas ? Voilà qui me va droit au\ncœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nQu'en est-il de vos cauchemars, ces temps-ci ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nCela ne s'arrange guère, hélas. La guerre\nredouble d'intensité, et il en va de même\npour mes songes.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nJe suis navré d'entendre cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nVous savez... Je doute que nous ayons jamais\nl'occasion de régner sur nos royaumes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nQue dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nOh, ne me comprenez pas de travers.\nJ'entends par là que nous honorerons notre\ndevoir si le pire devait advenir, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nIl n'adviendra pas. Nous nous battrons pour\nprotéger nos frères. Nos futurs rois.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nL'effroi peut hanter nos songes, mais nous\nne le laisserons pas nous ébranler dans le\nmonde réel.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nJ'irai même plus loin... je ferai de mon mieux\npour protéger également son Altesse Alfred !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nOh !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nIl est prince héritier d'un royaume allié...\nJe le considère donc aussi comme mon frère.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nQuoique... Il prendrait peut-être ombrage d'être\nnommé « frère » par quelque gringalet pris de\nla fantaisie de le protéger...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nNe dites pas de sottises ! Alfred serait extatique.\nJe suis moi-même transportée. Les larmes me\nmontent aux yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nIl est si réconfortant de songer qu'un archer\nde votre trempe veillera sur lui.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nOh. C'est un honneur de vous voir me tenir\nen si haute estime.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nQuant à moi, je veillerai sur votre frère,\nle prince héritier Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNous œuvrerons ensemble pour protéger les\nfuturs rois, et nos deux nations en sortiront\ngrandies.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nJe n'hésiterai pas à mettre ma propre vie en\npéril, si cela s'avère nécessaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nPrincesse Céline ! Ce n'est pas...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nCe n'est pas là l'ordre des choses. J'en suis\nconsciente. Et pourtant...\x0E\x04\x00\x00
