MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSi j'en crois ce que l'on m'a rapporté, vous\nêtes aussi généreuse que vaillante au combat.\nJe suis impatient à l'idée de vous assister, Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nJe puis en dire autant à votre endroit, Emblème\nSigurd. On m'a fait grand cas de votre droiture\net de vos prouesses en tant que chevalier.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLa force des liens qui vous unissent aux\nQuatre Zéphyrs me rappelle bon nombre\nde mes propres amitiés.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nPardonnez ma curiosité, mais vous me feriez un\ngrand plaisir en acceptant de me parler plus en\ndétail des amis et alliés qui étaient les vôtres.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nJ'ai appris que vous aviez vaillamment\nsurmonté de terribles épreuves. Voilà\nqui est digne du plus grand respect.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nJ'ai toujours été prête à tout pour mon frère.\nSachez que je n'ai jamais considéré ce que\nj'ai vécu comme de terribles épreuves.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08シグルド\nLes liens du sang sont aussi puissants\nqu'inaltérables, je ne le sais que trop bien.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nPuissent les liens que nous tissons ensemble\naujourd'hui l'être tout autant, Emblème Sigurd.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nJ'ai appris que vous étiez un guerrier dragon\nprovenant d'un autre monde. Je vous sais gré\nd'avoir rallié notre cause.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nJe n'ai rien d'un héros, mais en vertu des\nservices que vous avez rendus à ma sœur,\nje ferai tout ce qui est en mon pouvoir.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDe mon ancien monde, c'est le souvenir de mon\nfils qui accapare le plus mon esprit. J'aurais tant\naimé pouvoir le connaître dans sa jeunesse.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nAinsi donc, vous avez un enfant. N'ayez aucune\ninquiétude, je gage que votre fils marche dans\nles pas de son illustre père.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDans ce monde en guerre comme dans le mien,\nj'ai vu des frères et sœurs prendre parti pour\ndes camps opposés. Tout cela est si tragique.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nSeriez-vous en train d'insinuer quelque chose ?\nSi tel est le cas, sachez que je ne suis pas\nd'humeur à souffrir vos leçons.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08シグルド\nCe n'est pas mon intention. Vous avez commis\nune erreur et vous avez fait amende honorable,\nc'est un exemple à suivre pour nous tous.\x0E\x04\x00\x00
