MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nVous êtes d'un naturel si délicat et élégant,\nj'aurais beaucoup à apprendre de vous.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nエイリーク\nJe ne fais pourtant aucun effort particulier\nen ce sens. Tâchez de rester vous-même,\nNel, car c'est là l'essentiel.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nSi je puis vous faire une confidence, je n'aime\nguère les combats. Je prends les armes dans\nl'espoir d'instaurer une paix durable, c'est tout.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nVotre aversion pour la violence ne fait que\nsouligner davantage votre bienveillance, et\nvos aspirations sont des plus nobles.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nPour être parfaitement honnête, je craignais\nque votre bonté naturelle ne vous desserve\net vous rende par trop vulnérable.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nMais je comprends désormais pourquoi les\njeunes agneaux vous portent aux nues. Vous\nsavez marier force et douceur à la perfection.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nエイリーク\nVos paroles me touchent, et je vous\nremercie humblement pour le réconfort\nqu'elles m'apportent.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nエイリーク\nSachez que j'admire votre compassion, ainsi\nque la férocité avec laquelle vous protégez\nvos amis. Je suis heureuse de vous connaître.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nVous êtes une véritable énigme... Vous\nsemblez si faible de prime abord, mais\nvous combattez avec une grande férocité.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSuis-je supposée considérer cela comme...\nun compliment ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nBien que mon frère et moi apparaissions\nrarement ensemble, j'ai parfois l'impression\nqu'il veille sur moi, par-dessus mon épaule.\x0E\x04\x00\x00
