MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous avez été impressionnante, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nÇa alors ! Vous me faites un compliment, Votre\nDivinité ? Un vrai de vrai ? Quel bonheur ! Ouh,\nc'est top moumoute !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nJe le pense vraiment. Des talents comme les\nvôtres sont très recherchés. Je ne serai pas\nsurpris\x0E\x0A\x00\x06
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nMercenaire... Oh, ouais, c'est exactement ça !\nComment vous avez deviné ? Enfin...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nDisons que ça m'est arrivé, oui, à l'occasion.\nUne fois ou deux, rien de plus !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nJe m'en doutais. Accomplie comme vous l'êtes,\nvous devez être assez célèbre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nOh, euh... oui oui, tout à fait ! Les gens me...\nIls me connaissent, quoi !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nJ'imagine que nos alliés vous connaissaient\ndéjà de réputation.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nJe leur demanderai s'ils ont des anecdotes à\nme raconter !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nAaah ! Oh non ! C'est-à-dire... Ce serait\nvachement bien si vous... le faisiez pas...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nMais pourquoi, voyons ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nParce que c'était un mensonge. Encore un.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nJe n'ai jamais été mercenaire. Ça sonnait\ntellement bien quand vous l'avez dit que\nj'ai joué le jeu, et puis... Je suis désolée.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nJe ne comprends pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nVous m'avez interrogée sur ma vie passée, et\nj'ai paniqué. Et comme à chaque fois, je me\nréfugie derrière un mensonge.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nToutes mes excuses, Votre Divinité. Je n'aurais\njamais dû vous induire en erreur.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nVous étiez venu\x0E\x0A\x00\x06
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nJe vais vous laisser.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nYunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nQue peut faire une misérable menteuse pour\nvous être agréable, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIl faut que nous parlions.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nJe vois. Sachez que j'accepterai tout châtiment\nque vous jugerez bon de m'infliger.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nUn châtiment ? Mais non, je voulais simplement\nvous dire que je vous suis reconnaissant\x0E\x0A\x00\x06
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nEuh, pardon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nJe le pense vraiment.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nVous vous battez de toutes vos forces pour\nassurer la protection de nos alliés. Je n'ai pas\nla moindre raison de vous punir.\x0E\x04\x00\x00
