MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nPrincesse Céline, je peux vous demander\nquelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nJe vous en prie.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nVous voyez cette colline en Firene sur laquelle\nse dresse un feuillu solitaire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nUn feuillu solitaire ? Non, cela ne me dit rien.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nPourquoi cette question ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nJ'ignore si vous le savez, mais je suis né\nen Firene.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nPendant toute mon enfance, nous nous\nrendions sur cette colline en famille.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nLe nom de la région m'échappe maintenant,\nmais je n'oublierai jamais la beauté du paysage.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nJ'aimerais retourner là-bas un jour,\nsi j'en ai l'occasion.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nÇa alors. J'étais à des lieues de songer que\nvous étiez originaire de Firene.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nMais vous demeurez fort laconique au sujet\nde l'endroit exact dont vous parlez.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nPardonnez-moi. Je me rends compte\nmaintenant que mes informations sont\nbien maigres pour se mettre en quête.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nJ'ai pourtant de vifs souvenirs du temps que\nj'ai passé là-bas. Parfois, je pourrais presque\nsentir l'odeur de l'air qu'on y respirait.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nVous êtes profondément attaché à cet\nendroit, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nFort bien. Je ne saurais endurer la souffrance\nd'un Firénien sans réagir.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nJe ferai tout ce qui est en mon pouvoir\npour vous aider.\x0E\x04\x00\x00
