MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, bonjour, Merrin !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nBien le bonjour, Chloé. Vous êtes\nresplendissante, comme toujours.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nTenez, en apercevant ces fleurs épanouies,\nj'ai immédiatement pensé à vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nLa beauté attire la beauté. J'espère qu'elles\nvous plaisent.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nOuah... C'est vraiment gentil, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nVous êtes à la fois si charmante et tellement\nclasse. L'image parfaite d'un chevalier de conte\nde fées.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nCharmante et classe, moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nHa ha ! Voilà qui est bien aimable.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nIl se trouve par hasard que j'ai sur moi\nquelques succulentes friandises. Me ferez-vous\nl'honneur d'en prendre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nOh, quelle agréable surprise ! Ce sera\navec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nCette journée commence à prendre\ndes allures resplendissantes !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nAsseyons-nous là-bas, la vue y est charmante.\nNous pourrons partager vos friandises et\nmes tripes de poisson marinées.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nJe vous arrête... Vous avez bien parlé\nde tripes de poisson marinées ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nJe vous parie qu'elles se marieront\nparfaitement aux friandises !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nEuh... Permettez-moi d'en douter.\nEn toute franchise, ce mélange ne me\nmet pas du tout en appétit.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nToutefois, pour en avoir le cœur net,\nvous n'avez d'autre choix que d'y goûter.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nPuisque vous insistez, j'en prendrai\nune bouchée. Mais si j'ai la nausée,\nil vous incombera de me soigner.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nCe sera avec plaisir. Franchirons-nous\ntoutes deux la frontière de l'inconnu, Merrin ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh !\x0E\x04\x00\x00
