MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06カミラ\x023\n\x0E\x03\x02\x06\x04チキ\nIl fait vraiment très sombre... Vous n'avez\npas peur du noir, vous, \x0E\x06\x03\x00 ?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nMême s'il y a un bracelet ici, nous\naurons du mal à le trouver.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04チキ\nAttendez, là-bas ! Je crois que je le vois !\nOui, c'est le Bracelet de la Sœur Dévouée !\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nFormidable, il ne me reste plus\nqu'à invoquer l'Emblème.\x0E\x04\x02\x00
MID_OP1_#005	Pourfendez les cieux,\nEmblème de la Révélation !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJ'ai la sensation d'avoir dormi pendant\nune éternité. Merci de m'avoir réveillée.\x0E\x04\x02\x00
MID_OP2_#002	Je suis Camilla, princesse de Nohr.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nEmblème Camilla, nous venons quérir\nvotre aide. Je suis le Dragon divin\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06カミラ\nComment résister à un appel à l'aide aussi\nsincère ? Je pourrais presque accepter.\nJe dis bien presque...\x0E\x04\x02\x00
MID_OP2_#005	Mais j'ai tout de même besoin d'y réfléchir,\net je m'engagerai à le faire... si vous me\nprouvez votre valeur.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nVous escomptez donc me mettre à l'épreuve.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x08\x06カミラ\nCertainement. Y a-t-il un problème à cela ?\nNe me dites pas que vous avez le combat\nen horreur, comme ma douce Corrin.\x0E\x04\x02\x00
MID_OP2_#008	Il faut s'efforcer de régler chaque différend\npar le dialogue, cela va de soi.\x0E\x04\x02\x00
MID_OP2_#009	Mais je crains que ce ne soit pas toujours\npossible, et il n'y a parfois d'autre issue\nque le combat.\x0E\x04\x02\x00
MID_OP2_#010	Même si l'on doit se dresser contre\nsa propre famille.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nQu'entendez-vous par là ?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06カミラ\nMa sœur s'est trouvée déchirée entre la famille\navec laquelle elle avait grandi, et celle avec\nlaquelle elle était liée par le sang.\x0E\x04\x02\x00
