MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nHmm... Aah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x02\x0A\x08ジェーデ\nMessire Lindon ? Qu'est-ce que vous faites ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nAh, Jade ! Bonjour.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nJe faisais juste cuire des pâtisseries avec\nun sort de Foudre. J'adore l'odeur de la pâte\npassée à... foudre bien chaude.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nOh ! Tiens, tiens...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nQuel est donc l'ouvrage que vous tenez là ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nJ'ai lu pour ainsi dire presque tous les livres\njamais écrits, mais je ne crois pas reconnaître\nla couverture de celui-ci.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nLe contraire m'aurait impressionnée.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nC'est un de mes romans. Je l'ai écrit moi-même.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nOh, juste ciel ! Voilà qui est formidable !\nJe vous en prie, laissez-moi donc le lire.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nVous voulez lire mon livre ? Je vous préviens,\nle ton est sûrement un peu plus léger que\nvos lectures habituelles...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nOh, c'est donc une œuvre comique ? Je vois.\nEh bien... voilà qui ne fait qu'aviver mon intérêt.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nUne lecture rafraîchissante me ferait du bien.\nQue puis-je faire pour vous convaincre de me\nlaisser lire votre livre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nTenez, si je cuisais des pâtisseries pour vous...\ncela m'aiderait-il à obtenir votre accord ?\x0E\x04\x00\x00
