MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nAinsi, vous avez voyagé de par les mondes\ndans le seul but de venir en aide à de parfaits\ninconnus ? Vous êtes un personnage singulier.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nEt vous êtes toujours aussi singulièrement\naustère, Emblème Soren. Si je suis venue\nici, c'est pour le Dragon divin.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04エル\nMalgré mes efforts redoublés, j'ai peur\nd'avoir encore fait montre d'une extrême\nfroideur envers le Dragon divin.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nComment pouvez-vous répéter ainsi les mêmes\nerreurs ? N'apprendrez-vous donc jamais ?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nSi vous aviez quelque velléité de vous\nrapprocher du Dragon divin, vous devriez\nchoisir vos mots avec plus grand soin.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nJ'en suis parfaitement consciente, mais cela\nne m'empêche pas d'échouer lamentablement.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nJe doute que vous puissiez le comprendre,\nmais dans ces moments-là, les mots semblent\naller à l'inverse de ma pensée.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nC'est juste, je ne comprends pas, mais si je\npuis vous donner un conseil, exprimez-vous\navec probité et sans détour, tout simplement.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nJe pensais que nous en aurions fini avec\ntout ça, Nel et moi, mais voilà que la\nguerre nous a rattrapés.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nCertes, et je ne doute pas que votre\nprésence contribuera grandement aux\nsuccès de cette armée.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nVous paraissez si seul. C'est sans doute la\nconséquence de vos dehors froids et austères.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nJe constate que vous avez du temps à perdre\nen abondance. Pourquoi ne pas le consacrer\nplutôt à vos amis ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nPourquoi me dévisagez-vous de la sorte ?\nAvez-vous désespérément besoin de mon\nattention à ce point ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nVous me rappelez quelqu'un. Il avait des ailes\nnoires... Et comme vous, ce n'était pas le genre\nd'individu qu'on aurait souhaité avoir pour ami.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nÇa alors ! Ce doit être la première fois que\nvous vous épanchez autant. Vous avez piqué\nma curiosité, je vous en prie, continuez.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nCe n'est rien, oubliez donc cela.\x0E\x04\x00\x00
