MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincesse Céline ! Qu'avez-vous fait à\nvos cheveux ? Ils sont encore plus soyeux\nque d'habitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nJe dois dire que chaque jour où je vous vois\nest un jour de joie.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nAucune réaction, hein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSi je devais réagir à chacune des incessantes\nflagorneries qui se déversent de votre bouche,\nnous en aurions pour la journée.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nDes flagorneries ? Moi ? Jamais je n'oserai\ny songer.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nOh, je sais ! Et si nous allions boire\nun thé, tous les deux ? Vous aimez le thé,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nEn tant que figures royales de Solm et de\nFirene, il me semble important que nous\napprenions à nous connaître.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nDiscuter de ce qui nous tient à cœur et de\nce genre de choses. Je pense que nous\npourrions tous deux en tirer bénéfice.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà bien la réflexion du prince d'une\nnation ayant la passion du commerce.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nAllons, les échanges réciproques n'ont\njamais fait de mal à personne.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nVous m'en voyez navrée, mais je ne peux\nhonorer votre invitation aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nLe peuple de Firene mène une vie simple\net bucolique. Nous ne partageons pas votre\ngoût pour les manigances et le risque.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nÀ vous entendre, on croirait que boire un thé\nen ma compagnie relève de l'aventure.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nOui, et de l'aventure fort risquée qui plus est.\nBonne journée, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x01\x0A\x08セリーヌ\n\x0E\x03\x02\x0C\nフォガート\nEt voilà, elle a filé. Il va falloir être patient...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nEn même temps, il fallait s'y attendre.\nElle vient de Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nTiens, bonjour Princesse Céline. Vous êtes\nplus resplendissante que jamais.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nMerci, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nAlors, qu'en dites-vous ? Est-ce qu'on va\nla boire, cette tasse de thé ? Il est temps\nd'apprendre à se connaître un peu mieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nHmm... Est-ce bien raisonnable ?\x0E\x04\x00\x00
