MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nAlors... le dernier fragment de Dragon\ndéchu se trouve ici ? Dans le temple\nde Gradlon ?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOui...\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nQue se passe-t-il, Veyle ? Vous avez une mine\naffreuse. Avez-vous encore besoin de repos ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est pas ça, non. Mais je...\nJ'ai une requête à formuler.\x0E\x04\x02\x00
MID_OP1_#005	Je vous en prie, laissez-moi entrer seule.\nJe briserai le fragment et reviendrai aussi vite\nque possible.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nQuoi ?! C'est beaucoup trop dangereux.\nJe ne peux pas vous laisser faire.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nFaites-moi confiance. Il vaut mieux\nque vous restiez en retrait.\x0E\x04\x02\x00
MID_OP1_#008	Vous et vos amis feriez mieux de rester ici.\nMon frère... laissez-moi faire.\x0E\x04\x00\x00
MID_OP1_#008_F	Vous et vos amis feriez mieux de rester ici.\nMa sœur... laissez-moi faire.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nPourquoi ? Je ne comprends pas.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x18\x12M025_ルミエル\x021\n\x0E\x06\x00.\x12M025_ルミエル\x18MPID_Lumiere\n\x0E\x03\x02\x14\x12M025_ルミエル\nHa ha... Est-ce bien toi, \x0E\x06\x03\x00 ?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x14\x12M025_ルミエル\nC'est bien toi, n'est-ce pas ?\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nMère ?!\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x14\x12M025_ルミエル\nOh, je souhaitais tant te revoir, toi mon enfant\nadoré\x0E\x0A\x00\x06
MID_OP1_#015	Quand j'ai senti ta présence, j'ai volé\naussi vite que j'ai pu !\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nC'est impossible. Comment...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x14\x12M025_ルミエル\nComme tu m'as manqué !\x0E\x04\x00\x00
