MID_TUT_CATEGORY_TITLE_Battle	Batailles
MID_TUT_CATEGORY_TITLE_God	Emblèmes
MID_TUT_CATEGORY_TITLE_Hub	Somniel
MID_TUT_CATEGORY_TITLE_Kizuna	Exploration
MID_TUT_CATEGORY_TITLE_Challenge	Épreuves
MID_TUT_CATEGORY_TITLE_Local	Bat. actuelle
MID_TUT_BMAP_MOVE_TITLE	Déplacer des unités
MID_TUT_BMAP_MOVE_0	Pour déplacer l'une de vos unités,\nsélectionnez-la d'abord avec \x0E\x08\x02\x04\x02A,\npuis choisissez sa destination avec \x0E\x08\x02\x0E\x0CStickL.
MID_TUT_BMAP_MOVE_1	Les cases bleues indiquent la portée de\nmouvement de votre unité.
MID_TUT_BMAP_MOVE_2	Appuyez à nouveau sur \x0E\x08\x02\x04\x02A\npour confirmer la destination de l'unité.
MID_TUT_BMAP_COMMAND_TITLE	Donner un ordre aux unités
MID_TUT_BMAP_COMMAND_0	Après la phase de déplacement, une liste\nde commandes apparaît.
MID_TUT_BMAP_COMMAND_1	Si vous ne voulez pas agir,\nchoisissez Attendre.
MID_TUT_BMAP_CHANGE_TITLE	Changement de phase
MID_TUT_BMAP_CHANGE_0	Une fois que toutes vos unités ont agi,\nla phase joueur prend fin, laissant place\nà la phase ennemis.
MID_TUT_BMAP_CHANGE_1	Le tour est terminé quand toutes les armées\nont fini leur phase. La prochaine phase de votre\narmée commence au début du tour suivant.
MID_TUT_BMAP_ATTACK_TITLE	Attaquer
MID_TUT_BMAP_ATTACK_0	Pour attaquer, déplacez une unité près\nd'un ennemi et choisissez Attaque.
MID_TUT_BMAP_ATTACK_1	Vous pouvez également initier une attaque\navec \x0E\x08\x02\x04\x02A si vous passez votre curseur au-dessus\nd'un ennemi et voyez \x0E\x08\x02\x04\x02A Attaquer.
MID_TUT_BMAP_ENGAGE_TITLE	Fusionner
MID_TUT_BMAP_ENGAGE_0	Lorsque la jauge de fusion est pleine,\nsélectionnez Fusion.
MID_TUT_BMAP_ENGAGE_1	L'unité fusionne alors avec l'Emblème\nsélectionné et peut utiliser des armes de\nfusion spéciales.
MID_TUT_BMAP_ENGAGE_2	La fusion déverrouille également\ndes techniques spéciales.
MID_TUT_BMAP_ENGAGE_3	La fusion avec un Emblème dure seulement\ntrois tours.
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	Attaques de fusion
MID_TUT_BMAP_ENGAGE_ATTACK_0	Pendant une fusion, les unités peuvent utiliser\nune attaque spéciale appelée Attaque de fusion.
