MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nJe dois dire que vous avez fait de remarquables\nprogrès. Vos talents se sont vraiment améliorés.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJ'ai simplement cherché à rester à votre niveau.\nIl me reste encore bien des choses à apprendre !\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'ai entendu dire que vous aviez un frère aîné.\nPourriez-vous me décrire comment il était ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEh bien, il était parfois un peu agaçant, mais\nje n'ai jamais rencontré quelqu'un de meilleur\nque lui. Je ne lui arrive pas à la cheville.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'admire vos talents, Hector, et j'aimerais vous\ndemander un petit service... Accepteriez-vous\nde vous entraîner avec moi ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nCe serait un honneur pour moi. Mais qu'est-ce\nqui vous a poussé à me le demander ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nVous réagissez toujours très vite pour défendre\nvos alliés. Je veux être capable de vous protéger\nvous aussi avec la même efficacité.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nVoilà un plan fort avisé. Mais pour que nous\npuissions couvrir mutuellement nos arrières,\nil faudra vous entraîner de toutes vos forces.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nJe n'aurais jamais cru que je combattrais\nun jour à vos côtés. La vie nous réserve\ndécidément bien des surprises.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEn effet, mais ainsi en a voulu le destin !\nJ'ai hâte de voir ce qu'il nous prépare encore.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVos tactiques martiales semblent s'affranchir\ndes conventions. Consentiriez-vous à m'en\nenseigner les rudiments ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJ'ai tout appris sur le sable d'une arène.\nSi vous n'avez pas peur de vous salir\nles mollets, je vous montrerai volontiers.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nQue faites-vous ? Seriez-vous en train\nde... tricoter ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSi fait, je me livre à cet ouvrage chaque\nfois que j'ai un moment de libre. Il m'aide\nà me concentrer et à démêler mes pensées.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nMon frère me disait toujours que je manquais\nde patience. Pourriez-vous m'apprendre ?\x0E\x04\x00\x00
