MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDiamant, est-ce que vous avez\nun souci quelconque ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nDame Veyle ? Pourquoi cette remarque ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJe vous ai causé... un grand tort. Et j'aimerais\npouvoir me faire pardonner... si tant est que cela\nest possible.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nVous faites allusion à mon père ? Inutile de\nvous sentir responsable. Vous n'étiez pas\nmaîtresse de vos actes.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nPeu importe. Je souhaite réparer cette faute.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vois. À votre place, j'essaierais moi aussi\nde me racheter.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nPour parler franchement, rien ne me trouble,\nprésentement.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nCela dit... Peut-être accepteriez-vous de m'aider\nà assister les gens ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAssister les gens ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nEn ma qualité de prince héritier de Brodia,\nje suis au service de mon peuple.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nEn m'aidant à le soulager de ses fardeaux,\nvous me rendriez un immense service.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nQu'en dites-vous, Dame Veyle ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nC'est d'accord. J'accepte avec grand plaisir !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x04\x03\x04
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nHmm... Comme c'est étrange...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nNous avons passé la journée à arpenter\nle village. Pourtant, personne n'a besoin\nde nous.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nCela m'étonne également. Il n'y a en effet\npas le moindre signe de détresse en vue...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nCela dit, il n'y a pas lieu de s'en plaindre. Il faut\nau contraire s'en réjouir.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis ravi de constater que mon peuple\nse porte bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ヴェイル\nEn effet. Mais ça ne m'aidera pas à me racheter\nauprès de vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNe vous en faites pas. Ce n'est que partie\nremise...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nUn jour, j'aurai bien quelque souci, et vous\npourrez voler à mon secours !\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nCela vous conviendrait-il, Dame Veyle ?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ヴェイル\nOui, parfaitement. Je vous remercie, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nBonjour, Diamant. Est-ce que quelque chose\nvous trouble, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEh bien, en temps normal, vous auriez eu droit\nà ma réponse habituelle, à savoir : « Pas\nparticulièrement. » Mais pas cette fois...\x0E\x04\x00\x00
