MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nSalut, Céline !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nTu suis encore un entraînement rigoureux.\nTu n'emploies néanmoins pas de pelle,\nd'habitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nC'est un trou fort profond que j'avise là.\nN'est-ce pas dangereux ? Et si quelqu'un\nvenait à y tomber ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ! Oh, Céline. Je ne m'entraîne pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt pour tout dire, je devrais creuser encore\nPLUS profond !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nQuel dessein poursuis-tu donc ainsi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nCe matin, j'ai entendu les serviteurs en cuisine\nse plaindre de n'avoir pas assez d'eau.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlors ni une, ni deux, j'ai décidé de leur\ncreuser un puits.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nJe te demande pardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred, si l'eau vient à manquer, nous disposons\nd'une rivière à proximité où nous pouvons aller\nen quérir.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nQuelle mouche t'a piqué lorsque tu t'es mis\nen tête de régler le problème en creusant\nun puits ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nHé, pas bête. Y en a là-dedans, dis-moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ferais mieux de dénicher une cruche\net de foncer à la rivière. Merci pour le\nconseil, Céline !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nTu ne changeras donc jamais.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nTu devrais t'affubler de peaux de bêtes et\nde fourrures... Au moins, tes interlocuteurs\nsauraient à quoi s'en tenir !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSais-tu ce que tu es, Alfred ?\nUn barbare attifé comme un prince.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh ! C'est gentil de me dire ça. Merci, Céline !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nComment peux-tu prendre cela comme\nun compliment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu fais référence à mes muscles saillants,\nqui évoquent ceux d'un barbare, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est un joli compliment, même si tu le dis\njuste pour faire plaisir à ton frère.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nCe n'est pas du tout ce que j'entendais par là !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh, eh... Ce n'est pas bien grave, Céline.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi c'est pas ce que tu voulais dire, alors\nc'était quoi, l'idée ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nTa première réaction, en entendant que l'eau\nvenait à manquer, a été de creuser un puits !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, oui ! Cette petite boulette...\nJ'en ai rougi comme une tomate !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nHélas, c'est loin d'être le seul exemple.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nTe souviens-tu du jour où tu as entendu\nles soldats se plaindre de ne pas pouvoir\nse laver ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nTu as aussitôt bondi pour leur creuser\nune source d'eau chaude !\x0E\x04\x00\x00
