MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nBien. Il est l'heure de notre entraînement\nquotidien au chant.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nAujourd'hui, nous allons travailler la\ndernière composition de la princesse,\n« Le Trio des Trop fortes ».\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nNous devons être prêtes à l'interpréter lors\nde notre prochaine répétition en sa présence.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nPrêtes à l'interpréter...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nEh bien oui. Quelque chose te tracasse ?\nTu n'as pas l'air dans ton assiette.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nEn effet, ça ne va pas fort. J'ai surpris un\néchange qui n'a de cesse de me contrarier.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nOh... Et de quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nQuelque individu s'avise de nous appeler\n« Le Tintamarre de Solm ».\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nOh.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nJ'imagine que le « tintamarre » fait référence\nà notre chant.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nC'est également ainsi que je l'entends.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nAïe.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nMa foi, on m'a expliqué pendant toute mon\nenfance que je chantais comme une marmite\nen fonte.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nMais la princesse a fait l'éloge de la singularité\nde ma voix, alors... Je me suis dit que ça avait\ndû s'arranger.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nDe même, mot pour mot.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nArgh... Tout d'un coup, j'ai l'impression\nqu'on a du pain sur la planche.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nSi d'aventure nous chantions plus...\ndiscrètement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nC'est peut-être une idée.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08パネトネ\nMettons-nous donc à l'ouvrage sans plus\nattendre. Une, deux, une, deux, trois...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nSalut. Alors, où en sont les clabauderies ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nLes quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nTu sais bien, à propos de notre séance de\nchant de l'autre fois. As-tu eu vent d'autres\nplaintes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nAh, nul besoin de te faire de mauvais sang.\nPas la moindre parole désobligeante n'est\nparvenue à mes oreilles.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nOuf. J'avoue que je me faisais du souci.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nAttends...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nNon, on se trompe sur toute la ligne.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nQu'entends-tu par là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nChanter discrètement pour prévenir les\nsobriquets déplaisants ? On vaut tout\nde même mieux que cela !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nNon, arrêtons de nous voiler la face.\nNous devons améliorer notre chant.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nOui... Tu as raison.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nDissimuler ainsi honteusement nos voix...\nNous souillons le nom de Timerra !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nSi la cheffe nous entendait, elle en sangloterait\nd'embarras.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nNon, non. Je ne pourrais pas vivre après\navoir fait pleurer la princesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nEt moi donc !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nIl demeure une question : comment nous\naméliorer ? Hum...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nPeut-être devrions-nous demander conseil\nà la princesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nTu crois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nMais cette fois, obtenons une réponse honnête.\nPas de boniment au sujet de notre voix\n« singulière ».\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nBrillante idée ! Exigeons une vérité complète\net dénuée de toute fioriture.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nLes conseils de chant de la princesse\nconstituent, hum... une gageure.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\n« Merrin, rassemble tout ton punch et\nmaintiens-le juste sous ton nombril ! »\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nC'est pour le moins cryptique. Qu'est-ce que\nle « punch » et comment est-on censé\nle « maintenir » ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nLe plus drôle, c'est que j'y arrive mieux\nmaintenant.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nEn me concentrant sur la zone juste en dessous\nde mon nombril, je sens que ma voix gagne en\nstabilité.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nBien que son conseil soit d'une impénétrable\nobscurité, tu parviens à le suivre !\nMes compliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nHa ha, merci, Panette. Et au fait, quel était\ncelui qu'elle t'a donné, à toi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nElle a dit : « Tu fais dans le WA-WA-WA,\nalors que tu dois chercher le di-di-di ! »\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nJ'en ai été prise de vertiges tant c'était confus.\nDe vertiges, je dis bien !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nPourtant, quand j'ai entrepris de suivre\nson conseil, un phénomène impensable\ns'est produit.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nÇa a fonctionné !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nParfait ! Dorénavant, nul ne songera plus à\nnous appeler Le Tintamarre de Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nCertes non. À travers tout le royaume,\nnous sèmerons les sourires.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nÇa vaut mieux que les tympans crevés !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nSi cela se poursuit, nous pourrions être bientôt\nparées à donner un récital.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nUn récital ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nLe public sera si envoûté qu'il nous baptisera...\nLes Sirènes de Solm !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nOoh, ce serait formidable ! J'adorerais qu'on\nm'appelle Sirène.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nAh, me voilà prise d'un frénétique\nenthousiasme ! Reprenons notre\nentraînement séance tenante !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nJ'approuve. Nous devons être prêtes à\ninterpréter « Le Trio des Trop fortes ».\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nOui. Entrelaçons nos voix dans une angélique\nharmonie dont la cheffe pourra être fière !\x0E\x04\x00\x00
