MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous semblez fatiguée, Dame Nel.\nJe pense qu'une pause déjeuner\nvous ferait le plus grand bien.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nVotre sollicitude me touche. Je parviendrai\npeut-être à trouver quelque fruit à même\nde satisfaire mes papilles.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nVotre présence me procure un sentiment de\nsécurité, Hector. Mon instinct me dit que\nje peux compter sur vous.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJe suis heureux de l'entendre, Dame Nel.\nSi vous avez besoin de moi, je serai là.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nJe crains qu'il m'arrive de me montrer trop\nprotectrice avec ceux que je considère comme\nma famille. Connaissez-vous ce sentiment ?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEn quelque sorte, oui. Étant moi-même le\ncadet, c'est mon grand frère qui s'est\ntoujours occupé de moi.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nMais ne soyez pas trop dure avec vous-même,\nDame Nel. Je suis convaincu que vos proches\napprécient les égards que vous avez pour eux.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nMerci pour ces mots rassurants. Je vois que les\nliens familiaux ont autant d'importance pour les\nhumains que pour les dragons.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nJe crois savoir que vous étiez le cadet\nde votre fratrie. Aviez-vous des sœurs ?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNon, je n'avais qu'un grand frère, mais c'était\nune personne admirable. Je l'aimais beaucoup.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nVotre expérience dans l'arène parle\nd'elle-même, mais j'aimerais vous voir\nà l'œuvre de plus près.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJe ne suis pas homme à décliner un tel défi.\nAttention cependant, je vous conseille de\nne pas retenir vos coups !\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nBien que ma soif de puissance soit restée\nintacte, mes motivations ont changé.\nJ'aspire désormais à protéger les autres.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nC'est fort louable, mais vous devrez également\napprendre à vous reposer sur vos compagnons.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nJ'avais autrefois la conviction qu'en étant\nassez fort, je pourrais protéger tout le monde,\nmais je me trompais lourdement.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nIl n'est pas dans ma nature de solliciter l'aide\nd'autrui, mais si je dois commencer un jour,\nj'espère pouvoir le faire avec vous.\x0E\x04\x00\x00
