MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x16\x10ジェーデ_兜あり\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x12\x10ジェーデ_兜あり\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nJade ? Que t'arrive-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x12\x10ジェーデ_兜あり\nJe fais des exercices de méditation.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nAh... J'avais entendu dire que tu gérais le stress\nen méditant dans ton armure. Il semblerait que\nla rumeur était fondée.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x12\x10ジェーデ_兜あり\nPuis-je t'aider en quoi que ce soit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nC'est juste que tu as l'air si appétissante...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x12\x10ジェーデ_兜あり\nPardon ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nTon immobilité silencieuse, dans ton armure...\nCela m'évoque l'un de mes plats favoris.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nOn farcit une carapace de crabe d'un mélange\nde plusieurs viandes, de légumes et de riz, puis\non laisse mijoter le tout trois jours à l'étuvée.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nOh... Rien que d'en parler, ça me donne faim...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x12\x10ジェーデ_兜あり\nIl n'est pas facile de méditer en ta présence,\nBunet.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nChut, chut... J'arrive presque à en sentir\nla saveur sur mes papilles...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nCes bouchées délicates d'un succulent\ncrabe farci...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x12\x10ジェーデ_兜あり\nS'il te plaît, Bunet ! Peux-tu me laisser seule ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nOh, t'aurais-je dérangée ? Eh bien, adieu, alors.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x01\x06\x04ボネ\n\x0E\x03\x02\x12\x10ジェーデ_兜あり\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x12\x10ジェーデ_兜あり\nEt voilà, il a réussi à me donner faim...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nBonne nouvelle, Jade ! Je vais te faire déguster\ncette recette de crabe farci dont nous avons\ndiscuté l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nJe n'ai pas souvenir d'une telle discussion.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nLe « Repos de Jade ». Ce serait un nom parfait\npour ce plat, tu ne trouves pas ?\x0E\x04\x00\x00
