MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nTrès bien. Vas-y, ma belle. Tu peux y arriver !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nClanne ? Peut-on savoir ce que tu fabriques ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nAah !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh ! Toutes mes excuses. Je ne voulais surtout\npas te surprendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nTu avais l'air si absorbé dans ta tâche.\nJ'étais simplement curieuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nJe... euh, rien. Je faisais rien de spécial.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nBonté divine... Était-ce quelque chose\nd'ordre privé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nN'aie crainte, je n'ai absolument rien vu.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nHein ?! Non ! Ça n'a rien à voir !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nC'est juste que... je parlais à une fleur\ndes champs.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nPuis-je savoir pourquoi tu t'adonnais\nà cette activité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nJ'ai trouvé cette fleur fanée et ça m'a fait\nde la peine... Alors je lui ai trouvé un tuteur,\nje l'ai arrosée...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nEt doucement, elle a repris du poil de la bête.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nHa ha ! Oh, quelle histoire !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nJe sais, je sais. C'est bizarre de s'attacher\nautant à une pauvre fleur des champs.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nAucunement. Je trouve que tu as fait\nun travail admirable, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nOh ? Vous le pensez vraiment ? Eh ben... merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nVerrais-tu un inconvénient à ce que\nje veille également sur cette fleur ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nBien sûr que non !\x0E\x04\x00\x00
