MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nQui arrive à fixer l'autre le plus longtemps,\ntoi ou ce livre d'histoire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nAh ! Prince Diamant ! Mes excuses, je ne savais\npas que vous étiez là !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTu n'as pas à t'excuser, Framme. Quel est donc\nla raison de ta frustration ? Puis-je t'apporter\nmon aide ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nJ'ai encore failli dans mon devoir de gardienne,\net Vander m'a mise en « corvée d'étude ».\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nVous l'auriez entendu, « Tu ne prends jamais\nton rôle au sérieux »... « Le moins que tu\npuisses faire, c'est t'éduquer ! »\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, alors Vander t'a donné ce livre. Il ne semble\npas te procurer beaucoup de plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nL'histoire, c'est barbant ! Rien que des guerres,\ndes problèmes de frontières, des guerres, des\nconflits commerciaux, encore des guerres...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nPourquoi doit-on toujours se battre ? Les gens\nne peuvent pas se détendre une bonne fois et\nêtre amis ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nL'histoire a en effet tendance à être ponctuée\nde guerres. C'est du moins le cas depuis\nla première guerre contre le Dragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nMais l'histoire, ce n'est pas que des batailles\net des bains de sang. Par exemple...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nMes ancêtres ont pu fonder Brodia grâce à la\nprotection de Lumera, pas par le pouvoir\ndes armes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nTu peux vraiment en apprendre beaucoup\nen étudiant l'histoire. Vander a pris la bonne\ndécision.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nHmm. Si vous le dites...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nHé, continue de lire. Tu n'y trouveras pas que\ndes dates et des anecdotes, je te le promets.\nLes gens ont aussi une histoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nOuais, vous avez sans doute raison. Je ne\nsuis pas encore allée bien loin... C'est assez\néprouvant.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. C'est vrai. Il n'est pas simple de lire un\nouvrage sur les anciens conflits quand on est\nsoi-même en guerre. Mais ne t'en fais pas trop...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEn tant que prince héritier de Brodia, je fais\nle serment qu'une fois roi, nous vivrons en paix.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nOuah. Pour de vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nUn serment de la part du prince héritier de\nBrodia vaut toutes les promesses du monde !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nHé hé. Je ne dis pas cela en l'air, tu verras.\nTu peux te détendre un peu.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nAh, j'y compte bien. Mais seulement après avoir\nlu quelques pages de ce livre pas si barbant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nBonjour, Framme. Aurais-tu oublié ton livre\nd'histoire ? Ou l'as-tu déjà terminé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nJ'ai... laissé tomber l'histoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTu as abandonné ? Que s'est-il passé ?\nJe pensais que tu y avais trouvé de l'intérêt...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nPrince Diamant... Vous avez dit vouloir\nque le monde vive en paix, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nEst-ce bien la vérité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nBien sûr. Je ne pourrais jamais mentir à ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nAlors pourquoi est-ce que Brodia s'acharne\nà attaquer Elusia ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nJ'ai lu l'histoire des deux royaumes.\nTant de citoyens d'Elusia sont terrifiés\nface à Brodia...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nPour vous, en finir avec la guerre, ça veut dire\nconquérir Elusia ? C'est votre idée de la paix ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
