MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nDame Veyle, pardonnez mon intrusion,\nmais je désirais vous rendre mes hommages.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nHein ? C'est toi, Marni ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nマデリーン\nMadeline, en fait. Je suis ravie de vous\nrencontrer.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh... Oui, bien sûr. Moi de même.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nEn tant que chevalier, je veux prononcer\nle serment de consacrer tous mes efforts\nà vous soutenir sur le champ de bataille.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Mauvier m'a entretenu de vous...\nIl a dit que vous étiez un peu rigide, mais\nque vous aviez l'âme noble et le cœur bon.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier ? Vous voulez dire...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nOui, excusez-moi. Celui de mon monde.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Mais pour avoir combattu à vos côtés, je ne\npense pas que vous soyez très différente\nde la Veyle dont il parlait.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMerci.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ces paroles me réchauffent le cœur...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nマデリーン\nQuelque chose vous tourmente ?\nVous observez mon visage d'une façon...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Oh non ! Un morceau de salade est demeuré\nentre mes dents, n'est-ce pas ? Pardonnez-moi,\nje cours quérir un miroir.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nNon, il ne s'agit pas de ça... C'est seulement\nque vous ressemblez à quelqu'un que j'ai\nconnu.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Votre sourire... Il me rappelle le sien.\nElle avait un sourire irrésistible.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nVoilà qui est fort aimable. Mes parents disaient\nvolontiers que le visage reflétait ce qu'on\navait dans le cœur.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	C'est donc mon âme dont vous faites l'éloge\nen me faisant compliment de mon sourire.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Non que les éloges aient une quelconque\nimportance. En tant que chevalier, seule\nla justice me préoccupe.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nLes éloges... vous laissent indifférente...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nOh ! Je n'avais nulle intention de vous blesser.\nJe vous jure que votre compliment m'est allé\ndroit au cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est pas de cela qu'il s'agit. Vous êtes\ntrès aimable. C'est ma faute.\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Veuillez m'excuser. Nous reprendrons\ncette conversation une autre fois.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nマデリーン\nBien sûr, Dame Veyle... J'attendrai ce moment\navec impatience.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMadeline, pardonnez-moi d'avoir perdu mes\nmoyens lors de notre dernière conversation.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nInutile de vous excuser, Dame Veyle. J'espère\nseulement que vous êtes remise.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJe vais mieux, merci. Mais je voulais\nvous parler de quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nAvec plaisir. Je serais honorée d'entendre\nce dont vous voulez m'entretenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nMerci.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Il s'agit d'un chevalier du nom de Marni.\nVous lui ressemblez.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Quand je combattais le Dragon divin,\nj'étais sous le contrôle d'un casque enchanté.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Marni a tenté de briser le casque, et est\nparvenue à le fissurer.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Son geste courageux m'a permis de retrouver\nmes esprits. J'estime que je lui dois la vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nマデリーン\nJe n'attendrais pas moins de bravoure\nde la part d'un de vos chevaliers.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nCertes. Mais Marni y a laissé la vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nComment ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nElle a sacrifié sa vie pour sauver la mienne,\net je n'ai pas eu le temps de la remercier\nni de lui dire adieu.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Je sais que vous êtes quelqu'un d'autre,\nmais je souhaitais vous décrire ce que\nje ressentais.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nJe vois.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Vous avez raison, je ne suis pas Marni. Mais\nje crois saisir le sentiment qui était le sien.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Offrir sa vie pour celui à qui on a juré\nallégeance constitue le devoir d'un chevalier.\nJe suis certaine qu'elle l'a accompli sans regret.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Elle a honoré le rôle qui était le sien,\net s'est ainsi conduite en formidable\nchevalier.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nVous ne comprenez donc pas ?\nElle est morte par ma faute.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nPardonnez-moi si mes propos sont déplacés,\nmais si c'était à refaire, j'ai la conviction\nqu'elle n'agirait pas autrement.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nQuoi ?\x0E\x04\x00\x00
