MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJe ressens la chaleur des sentiments que vous\nportez à votre frère, et cela me fait dire que\nnous allons nous entendre à merveille.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nVous avez une capacité étonnante à voir\nl'invisible... mais je suis d'accord avec vous.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJ'ai eu moi aussi, dans ma vie, une personne\nqui était comme un petit frère pour moi. On ne\nse ressemble en rien, mais je l'aime beaucoup.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nQu'importe la ressemblance, votre frère\nreste votre frère. À moins qu'un détail ne\nm'échappe, peut-être ?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04エル\nOn dit que vous jouissez d'une espérance de vie\nexceptionnellement longue. Est-ce pour cela que\nvotre frère a vieilli plus vite que vous ?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nEn substance, oui. Il était pour ainsi dire\nmon petit frère, jusqu'à ce qu'il devienne\nplus grand que moi.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nEn ma qualité de dragon, c'est une réalité que\nje comprends parfaitement. Il est triste de voir\nles jeunes agneaux vieillir si rapidement.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nVotre compassion me touche. J'avais prédit\nque nous allions bien nous entendre, et je\nsemble avoir vu juste.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nPourquoi ce regard dégoulinant de prévenance\nà mon endroit ? Auriez-vous l'audace de me\ntraiter comme un enfant ?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nPardonnez-moi, je ne voulais pas vous\noffenser, mais je suis prise d'une envie\nirrépressible de veiller sur vous.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nSuis-je donc condamné à subir la prévoyance\nimportune de mes aînés ? Je pensais vous\navoir dit que je n'étais pas un enfant.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nVeuillez m'excuser, mais Dame Nel vous couve\ncomme une grande sœur, et je trouve cela\nmignon comme tout.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nRafal ? Je crains d'avoir fait une piètre\ngrande sœur, car je ne soutiens pas la\ncomparaison avec Dame Nel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nComment ? Voyons, c'est insensé. N'avez-vous\npas pris votre frère cadet sous votre aile, dans\nvotre propre monde ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nD'une certaine façon, même si c'est lui qui\nm'a trouvée, qui a cherché ma présence.\nJe me suis toujours demandé pourquoi...\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nÇa saute pourtant aux yeux. Vous comptiez\nénormément pour lui, et je peux le comprendre\nsans problème.\x0E\x04\x00\x00
