MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nJe me bats pour sauver le monde qu'aimait\nma mère, mais j'ai besoin de votre aide, Leif.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06リーフ\nS'il peut amener la paix que vous désirez tant,\nalors mon bras est vôtre !\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nC'est dur de penser que ma mère m'aimait\ntant, sachant que je ne pourrai jamais la\nremercier de sa gentillesse.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06リーフ\nIl suffit que vous exprimiez vos sentiments.\nQuelque part, votre mère les entend sans doute.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nSelon vous, est-ce que j'en fais assez, Leif ?\nJ'ai l'impression que tout le monde attend\ntellement de moi...\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06リーフ\nUn fardeau comme le vôtre est dur à porter.\nNe vous laissez pas obnubiler par vos échecs,\net pensez à vos forces.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nMes forces ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06リーフ\nLes gens croient en vous. Ils vous suivent.\nMontrez-leur un chemin vers la paix, et ils\nl'emprunteront.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMessire Leif, voulez-vous prodiguer des conseils\nau Dragon divin ? Cela me semblerait opportun.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06リーフ\nAvec plaisir. Si je suis en mesure d'apporter\nmon aide, je le fais volontiers.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLa témérité du Dragon divin me procure parfois\ndes sueurs froides.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06リーフ\nCela se comprend, même si le danger fait partie\nintégrante de la vie. C'est à nous de faire en\nsorte qu'il ne lui arrive rien.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nJe songe souvent à un vieil ami en vous\nregardant. Malheureusement, mon imprudence\nlui a coûté la vie.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x08\x06リーフ\nIl avait renoncé à tout pour satisfaire\nmes souhaits. Et je n'ai rien pu lui offrir\nen retour...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne connais pas cet homme, mais je reste\npersuadé que le fait de vous avoir servi a suffi\nà sa fierté.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nCompter un seigneur parmi ses amis ?\nVoilà un honneur dont peu d'entre nous\npeuvent se targuer.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クラン\nMessire Leif, avez-vous des suggestions pour\nm'aider à devenir quelqu'un en qui le Dragon\ndivin aurait confiance ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06リーフ\nSur ce point, je pense que j'ai plus à apprendre\nde vous, que vous de moi.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nClanne, vous avez l'air très occupé, comme\ntoujours. Faites-vous tous ces efforts pour\nle Dragon divin ?\x0E\x04\x00\x00
