MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n« Ici tout va bien. Comment allez-vous,\nà la maison ? »\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nBonjour, Framme. Tu écris à quelqu'un ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nÀ mes parents. Si je ne leur donne pas de\nnouvelles de temps en temps, ils s'inquiètent.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nVous y croyez, vous ? À mon âge ?\nEst-ce que tous les parents sont comme ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nEh bien, non. Tes parents doivent te chérir.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nOn ressent de l'inquiétude pour ceux qu'on\naime. Alors c'est bon signe, si ta famille\nen ressent pour toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nBon... peut-être un petit peu.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nVous venez de très, très loin, pas vrai ?\nVous devez attacher une grande importance\naux lettres de votre famille.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nJe ne sais pas, je n'en ai jamais reçu.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nHein ? Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nIls ne peuvent pas m'écrire parce que je me suis\nenfui de chez moi sans dire où j'allais.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nMais je pense que même s'ils savaient où\nme trouver, leur colère serait trop grande\npour m'écrire.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nAlors, vous n'êtes pas rentré chez vous\ndepuis votre fugue ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nC'est exact.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nMais c'est horrible ! À la place de votre famille,\nje me ferais un de ces mourons.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nVous savez quoi ? J'ai de l'encre et du papier.\nÉcrivez à votre famille sans plus attendre !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nJe suis certaine qu'ils seront ravis d'avoir\nde vos nouvelles.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nÉcrire à ma famille ? Non. Hors de question.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nAllez... C'est une super bonne idée !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nTu es gentille de t'inquiéter, mais c'est\nmon fardeau.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\nCeci dit, j'apprécie que tu proposes de m'aider.\nMerci, ma petite amie !\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\n« Petite » ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nHm, non... Ça ne va pas...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nPeut-être que si je...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nBooonjouuur, Kagetsuuu !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nAh !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nFramme ! Tu m'as... surpris.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nVous venez pas de cacher un truc en\nquatrième vitesse ? Qu'est-ce que vous\nfaisiez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nRien. Absolument rien. Je n'ai jamais rien caché.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nOuah, vous mentez très mal ! Alors si vous ne\ncachez rien, ça vous gênera pas que je regarde...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nNon ! Framme, arrête !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nHm ? C'est quoi, ce papier... ?\x0E\x04\x00\x00
