MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスフォリア\nVotre Divinité, Vos Altesses des trois\nroyaumes... Bienvenue au palais de Solm.\x0E\x04\x02\x00
MID_OP1_#002	Je suis Seforia, la reine de Solm.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nC'est un honneur de vous rencontrer, Votre Majesté.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0C\nスフォリア\nHonneur partagé. C'est même un délice.\x0E\x04\x02\x00
MID_OP1_#005	Et une surprise ! Je ne m'attendais pas à ce que\nFogado conduise le Dragon divin ici.\x0E\x04\x02\x00
MID_OP1_#006	De tout ce qu'il a fait au cours de ses\nexcursions, cette action est assurément\nla plus impressionnante.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x00\x10\nフォガート\x024\n\x0E\x03\x02\x0C\nフォガート\nJe me suis contenté de faire ce que tout prince\nferait pour sa reine.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0C\nスフォリア\nTu peux m'appeler « Maman ». Mon fils essaie\ntoujours de se donner un air décontracté et\ndétaché.\x0E\x04\x02\x00
MID_OP1_#009	Peu importe, revenons à ces présentations !\nIl y en avait... beaucoup.\x0E\x04\x02\x00
MID_OP1_#010	D'abord vous, Votre Divinité, puis les membres\ndes familles royales de Firene, Brodia et Elusia...\x0E\x04\x02\x00
MID_OP1_#011	Que d'invités ! Cela m'a tellement\ndécontenancée que j'ai failli en tomber\nde mon trône.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nToutes mes excuses. Nous sommes ici\npour une affaire de la plus haute importance.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nスフォリア\nOui, vous parlez du retour de Sombron,\nle Dragon déchu. Je n'en avais absolument\npas conscience.\x0E\x04\x02\x00
MID_OP1_#014	Si c'est lui qui a donné vie à ces créatures,\ncela explique pourquoi ce sont de telles\natrocités.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nMais les Aberrations n'ont-elles pas attaqué\nle palais ? Et les soldats elusiens ?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nスフォリア\nOh, si. Nous les avons éliminés.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nJe vois. Éliminés...\x0E\x04\x02\x00
MID_OP1_#018	Attendez, vraiment ? Tous ?\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0C\nスフォリア\nVous semblez \x0E\x0A\x00"\x0Esurpris\x10surprise.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\nJe suis... \x0E\x0A\x006\x18impressionné\x1Aimpressionnée. Mais assurément\n\x0E\x0A\x00"\x0Econtent\x10contente que personne ne se soit introduit\ndans le palais.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0C\nスフォリア\nJe suis désolée d'apprendre que les autres pays\néprouvent davantage de difficultés. Et la pauvre\nreine Lumera...\x0E\x04\x02\x00
MID_OP1_#022	Je suis allée la voir de nombreuses fois à\nLythos au fil des ans. Elle s'est toujours\nmontrée charmante.\x0E\x04\x02\x00
MID_OP1_#023	Il va de soi que Solm vous soutient dans\nvotre guerre contre le Dragon déchu.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nMerci. J'ai justement une requête à formuler\nà ce sujet.\x0E\x04\x02\x00
MID_OP1_#025	L'Anneau du Héros de l'Aube qui a été confié\nà Solm... Puis-je le prendre ?\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0C\nスフォリア\nBien sûr. Je vais le chercher de ce pas.\x0E\x04\x02\x00
MID_OP1_#027	Attendez... Hum...\x0E\x04\x02\x00
MID_OP1_#028	Où est-il déjà ?\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x0C\nスフォリア\nCela fait un moment que je ne l'ai pas vu.\nFogado, sais-tu où pourrait être l'anneau ?\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0C\nフォガート\nAucune idée. Tu as essayé le tiroir du bidule ?\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0C\nスフォリア\nAh... Veuillez attendre ici un instant.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0A\x08リュール\nBien...\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x01\x0C\nスフォリア\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nLe « tiroir du bidule »...\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIl prend la poussière dans ce vieux buffet\ndepuis tout ce temps ?\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nIl s'agit d'un des Anneaux d'Emblèmes les plus\npuissants. Je... J'en reste sans voix.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x10\nフォガート\x023\n\x0E\x03\x02\x0C\nスフォリア\nAh, vous savez quoi ? Cela vient de me revenir.\nC'est Timerra qui l'a emporté.\x0E\x04\x00\x00
