MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06セピア\nMe revoilà.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06マロン\nOh, bonjour, Zephia ! Comment s'est passé\nvotre rapport au seigneur Sombron ?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04グリ\nJ'imagine qu'il était furieux qu'on ait perdu\nles anneaux, non ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セピア\nEn effet.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\nHa ha ha, je le savais ! Et maintenant ?\nIl va nous punir, pas vrai ? Ah, enfin !\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セピア\nEn fait, non. Il m'a réprimandée, rien de plus.\nIl m'a rappelé l'importance de notre rôle.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06マロン\nC'est tout ? Ah ! Il doit vraiment nous adorer.\x0E\x04\x02\x00
MID_OP1_#008	Ça fait du bien d'être appréciée à sa juste\nvaleur !\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\nDame Veyle est-elle réveillée ?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06モーヴ\nNon. Ce sort que vous lui lancez sans cesse...\nCela devient dangereux.\x0E\x04\x02\x00
MID_OP1_#011	Nous devrions oublier la magie quelque temps,\nà mon avis. Afin de lui permettre de récupérer.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nLe sort aura bientôt un effet plus durable.\nLe seigneur Sombron m'a confié un casque\nenchanté.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06モーヴ\nQuoi ?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nLorsqu'elle porte ce casque imprégné de son\npouvoir, le sort que je lui lance est amplifié.\x0E\x04\x02\x00
MID_OP1_#015	Je vais enfin pouvoir détruire la tare. Je compte\nbien tester ça très prochainement.\x0E\x04\x02\x00
MID_OP1_#016	J'aimerais avoir quelques bonnes nouvelles à\nannoncer au seigneur Sombron lors de notre\nprochaine entrevue.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x06\x04グリ\nEn parlant de nouvelles, nos navires de guerre\nse sont heurtés aux forces du Dragon divin.\x0E\x04\x02\x00
