MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nPanette, c'est top moumoute !\nJe vous souhaite bien le bonjour !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nBonjour, Yunaka. Vous semblez d'humeur\njoyeuse. Comme d'habitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nToujours ! C'est l'une des qualités qui\nme sauvent.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nHmm, hmm... À ce sujet, je souhaitais vous\nposer une question.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nPourquoi vous obstinez-vous à feindre\nla bonne humeur en toutes circonstances ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nVous croyez que je joue la comédie ?\nVous m'attribuez le talent nécessaire pour\nfeindre en permanence ? Je suis si flattée !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nHa ha ha. Ne cherchez pas à duper\nune virtuose de la duperie.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nJe vois bien que ce n'est pas là votre\nattitude naturelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nLorsque je me suis mise au service de la cheffe,\nj'ai dû troquer mon ancienne façon de parler\npour une autre, plus appropriée.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nDepuis, je repère les discours forcés\nà des lieues à la ronde.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n... Comme quoi, on n'apprend pas à\nun vieux singe...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nJe ne peux pas répondre à votre question,\npar contre.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nSi je dévoilais le mystère, qui pourriez-vous\nharceler de questions pressantes ? Non,\nvous ne me laissez pas le choix.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nHmm... Je vois.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nPardonnez-moi si j'ai été indiscrète.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nMais cette duplicité... Il y a quelque chose\nqui me perturbe en elle.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYunaka, je ne peux m'empêcher de m'interroger\nau sujet de votre passé.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nLoin de moi l'idée de piétiner votre jardin\nsecret, mais s'il vous plaît... révélez-m'en\nun peu, voulez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\n... Soit...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nMes parents m'ont abandonnée quand j'étais\nencore petite. Du coup, ça n'a pas été de la\ntarte de grandir.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nJe n'aime pas trop y penser. Et encore moins\nen parler.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nJe suis désolée.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nJe ne connais que trop bien la douleur\nd'avoir eu des parents négligents.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nVous aussi ? Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nHélas, oui. Mon père était un soiffard invétéré.\nMa mère était toujours en vadrouille, à célébrer\ntout et n'importe quoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\nQui aurait pensé que nous ayons grandi\ndans des environnements aussi similaires ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nPas moi, en tout cas. Mais c'est rassurant,\nd'une certaine façon. On se sent un petit\npeu moins seul.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nHein ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nDes bandits. Ils arrivent droit sur nous.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nLaissez-moi les compter... Neuf. Non, dix.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nIls espéraient nous prendre au dépourvu,\nhein ? On va les recevoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nOuvrez vos oreilles, les affreux ! Si j'étais\nvous, j'y réfléchirais à deux fois avant de\nnous chercher des noises à toutes les deux !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nUn pas de plus et vos tripes verront la lumière\ndu jour ! Je me fais bien comprendre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ユナカ\nJe ne veux tuer personne.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nMais si vous êtes venus pour mourir, alors...\nVous ne me laissez pas le choix.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nVous entendez ? Encore des bandits ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nOh ? Vous voulez du rab de baston,\nles abrutis ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nHa ! C'est pas souvent qu'on croise des\nbandits qui pleurnichent comme des chatons !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nOh, non non non, attendez. C'était vraiment un\nchat, en fait. Cette petite boule de poils perfide\nm'a fait perdre les pédales !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nOh ! En effet. Quel soulagement !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nYunaka, laissez-moi vous dire que votre\nattitude carnassière au combat n'est pas\npour me déplaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nJe vous retourne le compliment ! Vous\nd'ordinaire si polie, vous ne vous en êtes\npas laissé conter !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nOui. Quand je sens l'odeur du danger, mon sang\nse remet à bouillir ainsi qu'il le faisait autrefois.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nJe connais ça. Il m'arrive aussi de retrouver\nmes anciennes habitudes. Comme ça ne vous\naura pas échappé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nNous avons beaucoup de points communs,\nen fait. Mais... que ceci reste entre nous.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nC'est vrai. D'ailleurs, à ce sujet... Acceptez mes\nexcuses pour vous avoir fait la leçon sur votre\nmanière de vous exprimer.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nC'était on ne peut plus malvenu de ma part.\nLa poutre, la paille, et tout ce qui s'ensuit...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nAucun problème. Ça a eu du bon, en même\ntemps. J'aurai du moins appris que la façade\nque j'affiche mérite un bon ravalement.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nPeut-être pourrions-nous nous améliorer\nensemble ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nTop moumoute ! Bonne idée !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nHum... Vous savez, il y a longtemps que\nje médite de vous poser une question...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nD'où vient ce « top moumoute » que vous\nemployez parfois ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nOh. Eh bien, euh...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nOui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nC'est encore un de mes petits mystères\npersonnels ! Ce serait ballot de tout balancer\nalors qu'on se connaît à peine.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nJe vois ! Dans ce cas, vous ne me laissez\nguère le choix.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nJe ferai tout ce qui est nécessaire pour que\nnous devenions les meilleures amies du monde !\x0E\x04\x00\x00
