MID_Hub_ThisTime	Moment
MID_Hub_Time_Morning	\x0E\x08\x02\x10\x0EMorningMatin
MID_Hub_Time_Noon	\x0E\x08\x02\x08\x06DayAprès-midi
MID_Hub_Time_Evening	\x0E\x08\x02\x10\x0EEveningSoir
MID_Hub_Time_Night	\x0E\x08\x02\x0C\nNightNuit
MID_Hub_Move	OK
MID_Hub_Enter	Entrer
MID_Hub_Talk	Parler
MID_Hub_Check	Examiner
MID_Hub_Ring_Cleaning_Brush	Polir
MID_Hub_Ring_Cleaning_BrushStrong	Polir fermement
MID_Hub_Ring_Cleaning_Stop	Terminer
MID_Hub_Unknown	???
MID_Hub_WeaponShop	Armurerie
MID_Hub_ItemShop	Magasin
MID_Hub_Blacksmith	Forge
MID_Hub_AccessoryShop	Boutique
MID_Hub_Mascot	Autel mystérieux
MID_Hub_Mascot_After	Autel de \x0E\x06\x05\x00
MID_Hub_FortuneStore	Prédictions
MID_Hub_FreeMarket	Brocante
MID_Hub_Photoshop	Archives
MID_Hub_amiibo	Pavillon amiibo
MID_H_Hub_amiibo	Choisissez une action.
MID_Hub_amiibo_Read	Scanner
MID_Hub_amiibo_Accessory_Trade	Tenues
MID_Hub_amiibo_Music_Trade	Morceaux
MID_Hub_Animal	Étable
MID_Hub_Here_Unit	Alliés
MID_Hub_Area_List	Lieux
MID_Hub_Area_News	Notifications
MID_Hub_Area_News_Nothing	Aucune notification.
MID_Hub_Area_Open	NOUVEAU
MID_Hub_Area_NewItem	Nouveau stock
MID_Hub_Area_NewSystem	Nouvelle fonction
MID_Hub_Area_NewLevel	Nouvelle difficulté
MID_Hub_Area_Count	Reste : \x0E\x01\x00\x00
MID_Hub_Area_NewStage	Nouvelle carte
MID_Hub_Next	Partir
MID_Hub_Next_Move	OK
MID_Hub_Next_Confirm	Quitter la zone ?
MID_Hub_Next_Confirm_Where	Quelle est votre destination ?
MID_Hub_Next_Confirm_Solanel	Somniel
MID_Hub_Next_Confirm_Gmap	Carte du monde
MID_Hub_Next_Go	Chapitre suivant
MID_Hub_Confirm_Cancel	Rester sur place
MID_Hub_Gmap	Carte du monde
MID_Hub_Gmap_Confirm	Aller à la carte du monde ?
MID_Hub_M026	Bataille finale
MID_Hub_Solanel	Somniel
MID_Hub_OtherWorld_Confirm	Franchir le portail pour se rendre\ndans un autre monde ?
MID_Hub_OtherWorld_Go	OK
MID_Hub_MyRoom	Ma chambre
MID_H_Hub_MyRoom	La somptueuse chambre à coucher du Dragon divin.\nRemémorez-vous des souvenirs ou allez vous reposer.
MID_Hub_GodRoom	Salle des Emblèmes
MID_H_Hub_GodRoom	Ici se trouvent vos Anneaux\x0E\x01\x09\x00 d'Emblèmes.\nHéritez de techniques ou créez des anneaux de lien.
MID_Hub_Cafe	Café
MID_H_Hub_Cafe	Un espace convivial et détendu équipé d'une cuisine.\nPassez vos commandes et mangez avec vos amis.
MID_Hub_Arena	Arène
MID_H_Hub_Arena	Espace d'entraînement extradimensionnel. Affrontez\nalliés ou Emblèmes pour gagner de l'expérience.
MID_Hub_Arena_Closed	Elle n'est pas ouverte pour le moment.
MID_Hub_Tower	Tour des épreuves
MID_H_Hub_Tower	Un petit bâtiment sur le cap où vous pouvez vous\nmesurer à des épreuves traversant l'espace et le temps.
MID_Hub_CentralStores	Place
MID_H_Hub_CentralStores	La place centrale au niveau de la porte principale\nde Somniel abrite de nombreux commerces.
MID_Hub_Poolside	Piscine
MID_H_Hub_Poolside	Un élégant bassin. Parfait pour se détendre\navec quelques amis entre deux batailles.
MID_Hub_Orchard	Verger
MID_H_Hub_Orchard	Plantation d'arbres fruitiers parfaitement entretenue.\nRécoltez des ingrédients pour les faire cuisiner au café.
MID_Hub_Pond	Étang
MID_H_Hub_Pond	Une petite étendue d'eau abritant\npoissons et autres créatures.
MID_Hub_TrainingSpot	Arrière-cour
MID_H_Hub_TrainingSpot	Une zone un peu reculée où les alliés peuvent effectuer\ndiverses activités, comme l'entraînement physique.
MID_Hub_Farm	Ferme
MID_H_Hub_Farm	Pâturages où les animaux peuvent brouter. On peut\ny prendre soin de tous les animaux trouvés en Elyos.
MID_Hub_GoodViewSpot	Belvédère
MID_H_Hub_GoodViewSpot	Falaise naturelle offrant une vue splendide sur les\ncieux. Lieu idéal pour la contemplation et la méditation.
MID_Hub_Cave	Grotte
MID_H_Hub_Cave	Située à Somniel, cette ancienne grotte calcaire\nabrite une sorte d'autel dans sa fraîcheur souterraine.
MID_Hub_MyRoom_Chest	Commode
MID_Hub_H_MyRoom_Chest_Nothing	Il semble qu'un objet important y ait sa place.
MID_Hub_H_MyRoom_Chest_Ring_PickUp	L'Anneau du Pacte est à l'intérieur.\nL'en sortir ?
