MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nVotre présence me remonte toujours le moral,\nMicaiah. Je pense que c'est ce doux sourire\nque vous portez en permanence.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nJe souris surtout quand je suis près de vous.\nVous dégagez quelque chose de chaleureux\net de réconfortant.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nPar curiosité, y a-t-il aussi des dragons dans\nvotre monde ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOui. Nous avons des wyvernes et des humains\ntransformés en dragons. Mais ils ne sont pas\ndivins comme vous.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'ai parfois peur que ma propre puissance ne\nsuffise pas. Pouvez-vous me lire mon avenir ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nJe vois un futur radieux. Un futur que vous\nfaçonnerez avec tous vos amis à vos côtés.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nMais je n'ai pas besoin de prescience pour le\nsavoir. Vous êtes assez fort\x0E\x0A\x00\x06
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci. Je ne devrais pas douter autant de moi,\nn'est-ce pas ? Je devrais en être capable... avec\nvotre aide, en tout cas.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nQue faire ? Le Dragon divin s'obstine à faire\npasser les autres avant sa propre personne\net ne s'accorde jamais le moindre repos.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nJe l'ignore... Mais ce dévouement absolu est\nl'une de ses qualités les plus délicieuses.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nAimez-vous les pommes, Dame Micaiah ?\nJe pourrais en dévorer des cageots entiers.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nIl faut dire qu'elles ont l'air délicieuses !\nLeur odeur suffit à me transporter, même si je\npréférerais pouvoir les croquer à pleines dents.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nOh, Vander, vous avez laissé tomber quelque\nchose ? Est-ce une aiguille à tricoter ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAh, il s'agit de... Ma foi, voilà qui pourrait\nêtre un peu gênant.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nVous tricotez ? Mais c'est un charmant\npasse-temps. Il faut absolument que vous\nme montriez vos œuvres !\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nOh, je ne cherche qu'à occuper mes mains, mais\nvotre enthousiasme me fait chaud au cœur.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJe comprends pourquoi vous vénérez le Dragon\ndivin. Rares sont ceux à posséder un tel charme.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nVous aussi, vous trouvez ? Alors ça vous dit\nde veiller sur \x0E\x0A\x00\x12\x06lui\x08elle avec moi ?\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クラン\nDame Micaiah, je vous ai aperçue dans la forêt\nde Somniel, l'autre jour. Qu'y faisiez-vous ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nJ'écoutais les oiseaux. Ils me rappellent\nune vieille amie, et leur chant m'apaise.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nVous faites grise mine, Clanne. Est-ce que\nje peux vous aider d'une quelconque manière ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nJe pense au Dragon divin, et ça me fait\nmal au cœur.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nImaginez-vous dormir si longtemps et ne vous\nréveiller que pour subir une catastrophe après\nl'autre...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nVoilà un charmant sentiment. Laissez-moi\nvous aider à mettre un terme à cette guerre,\net tout le monde pourra enfin vivre en paix.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nVous avez toujours l'air de beaucoup\nvous amuser, Framme.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nAh oui, et pas qu'un peu ! Je ne pourrai\npas apporter de joie au Dragon divin si\nj'en suis moi-même dépourvue.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nDame Micaiah, que préférez-vous, chez un\ngardien ? Je veux dire, quelles qualités\nvous donnent le grand frisson ?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nVoyons, Framme, vous n'avez rien à changer.\nLe Dragon divin vous apprécie telle que vous\nêtes.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nDame Micaiah ! Peu importe ce qu'on viendra\nvous raconter, la plus grande fan du Dragon\ndivin, c'est moi ! C'est compris !\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nMais de quoi parlez-vous, Framme ?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nC'est juste qu'à présent, le Dragon divin\na tellement de fans que j'ai bien peur\nde finir supplantée...\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmm, je vois. Je peux prédire votre avenir,\nsi vous voulez. Cela devrait vous apporter\nl'aide dont vous avez besoin.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe suis heureux de me battre aux côtés d'un\ndes Emblèmes confiés à notre royaume.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nCe sentiment est partagé. Je suis curieuse de\nvoir votre allure au combat, et si vous êtes\naussi impressionnant que je l'espère.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIl paraît que vous pouvez lire les pensées des\ngens, mais ça m'étonnerait que vous y arriviez\navec moi ! Je me suis entraîné dur.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh ? Ma foi, vous semblez bien sûr de vous.\nVoulez-vous que nous éprouvions cette\nassertion ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe m'entraîne, je m'entraîne, et pas\nl'ombre d'un muscle à l'horizon.\nComment expliquez-vous cela ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nC'est peut-être une question de constitution ?\nJ'ai un vieil ami qui faisait face au même\nproblème.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe sais ! Je vais rassembler tout le royaume\net nous trouverons quelque chose qui me\nconduira à dépasser mes limites !\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nEh bien, vous ne plaisantez pas sur ce sujet.\nIl n'y a pas de mal à être déterminé, mais\ngardez-vous d'en faire trop.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAh, euh...Micaiah, c'est ça ? Puis-je vous\ndemander de prédire mon avenir ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nBoucheron, si vous êtes perdu, vous pouvez\nsimplement me demander le chemin.\x0E\x04\x00\x00
