MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHmm... Que faire, que faire... ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nQu'est-ce qui vous tracasse, Messire Fogado ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nOh, ce n'est rien de grave. J'ai simplement\ndu mal à trouver des idées pour la prochaine\nfête que j'organise.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nJe voudrais imaginer quelque chose qui fasse\nnaître des sourires sur tous les visages, mais\nc'est plutôt compliqué.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nQu'y a-t-il de si difficile à organiser une fête ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nEh bien, à vrai dire... il n'y a guère d'orchestres\ndisponibles pour donner des concerts, en temps\nde guerre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nEt puis, notre budget est très limité, alors nous\nn'avons pas beaucoup de marge de manœuvre.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nAh. Je n'avais pas songé à tout cela, mais\nvous avez tout à fait raison.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nOh ! Et si on organisait une fête des desserts ?\nNous pourrions nous retrouver pour manger\nensemble toutes sortes de douceurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nLes desserts sont contraires à l'idée même\nde la fête.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nAlors ça... je n'avais jamais rencontré quelqu'un\nqui détestait les desserts.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\n« Détester », c'est un grand mot. Disons juste\nque j'aime trop mes muscles pour me goinfrer\nde la sorte avec des calories inutiles.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nQue diriez-vous plutôt d'une fête consacrée\nà l'exercice physique ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nEt qu'y aurait-il de festif là-dedans ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nEh bien voilà : plein de gens se rassembleraient,\net passeraient leur temps à exercer et tonifier\nleurs muscles.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nHmm. La suggestion est... intéressante, mais\nje crains qu'elle soit loin de satisfaire tout\nle monde.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nVous n'avez pas l'air convaincu...\x0E\x04\x00\x00
