MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nYaaah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nBon, et de 10 ! Au suivant !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nTrès impressionnant, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nPrince Diamant ! Je ne vous avais pas vu.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'observe toujours les soldats, cela fait partie\nde mes attributions.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nVous en faites pas pour moi, je tiens la grande\nforme ! Je suis née pour le combat, et\ntoujours prête à dégainer !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'en ai vu suffisamment pour savoir que ce ne\nsont pas des paroles en l'air. J'ignore bien\nquelle situation tu ne saurais maîtriser.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nUn duel d'entraînement surprise, par exemple,\nne te démonterait pas. Qu'en dis-tu ? Aurais-tu\nle temps d'échanger quelques passes d'armes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nMessire... non, je ne saurais...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nBien sûr que si ! Ne me dis pas que cette\nperspective t'effraie...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nIl va s'en écouler, du temps, avant que je\nme sente prête à me mesurer à vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nDès que je serai satisfaite de mes progrès,\nje viendrai croiser le fer avec vous, sans souci.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vois. Combien de temps penses-tu que\ncela prendra ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nLe temps qu'il faudra pour surmonter ma haine.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nComment cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nLa guerre contre Elusia a été un bain de sang.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nJ'ai pas encore réussi à effacer les traces\nqu'elle a laissées dans ma mémoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nJe fais mon possible pour oublier tout ça, mais\nje vais devoir gagner en force pour y parvenir.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nJe comprends. Pardonne-moi, Saphir, je ne\nvoulais pas remuer de si douloureux souvenirs.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nザフィーア\nC'est rien. Votre proposition m'honore, et\nje regrette de devoir refuser.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSaphir ! Crois-tu que je pourrais te convaincre\nd'enfin t'entraîner avec moi, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nMa position sur la question n'a pas changé,\nPrince Diamant. Je me sens pas prête.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPourtant, j'aimerais tellement te voir à l'œuvre...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nSi vous insistez... Ce serait grossier de refuser.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nMais si je gagne, est-ce que je pourrai\nvous raconter quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nSi tu souhaites me parler, tu n'as pas besoin\nde te battre pour ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nC'est une chose dont je peux vous parler que\nsi je vous bats. Ce serait déplacé, autrement.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nVoilà qui m'intrigue... Dans ce cas, marché\nconclu !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x04\x03\x04
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nJe m'incline, tu m'as battu !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nJe savais que tu étais forte. Cela ne m'empêche\ntoutefois pas de t'avoir sous-estimée...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nTrès bien, nous avions un accord. De quoi\nvoulais-tu me parler ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nC'est vrai... Eh bien voilà.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nQuand j'étais enfant, Elusia a rasé mon village.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nSi j'ai survécu, je le dois uniquement à la\nchance. Mes parents, mes amis... ils ont tous\nété massacrés.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nJe n'ai rien pu faire, j'étais parfaitement\nimpuissante.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nAujourd'hui encore, quand j'y repense,\nla frustration est telle qu'elle me donne\nenvie de hurler, de m'arracher le cœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nJe connais la souffrance dont tu parles.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nC'est à cause d'elle que je m'entraîne autant.\nJe dois devenir plus forte, c'est la seule chose\nqui me soulage.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nLes têtes couronnées déclarent la guerre,\nl'armée et le peuple en paient le prix...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nCette force que tu as développée protégera\npeut-être la vie de Brodiens innocents, un jour.\nEt tout cela n'aura pas été vain.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nMerci, Prince Diamant. Rien que d'avoir vidé\nmon sac, je me sens déjà mieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nザフィーア\nJe vais surmonter cette faiblesse,\npar tous les moyens.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPrince Diamant, vous avez besoin de moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nJe t'ai sentie un peu hésitante à l'entraînement,\nces derniers temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nJe sais qu'il faut que je devienne plus forte,\nmais en même temps... je commence à\nm'effrayer moi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nJ'ai peur de devenir quelqu'un qui n'existe que\npour faire souffrir les autres...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nLes cicatrices de la guerre ne s'effacent jamais.\nElles n'épargnent personne, vaincus ou\nvainqueurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nIl m'arrive souvent de me sentir perdu, tout\ncomme toi... Mais j'en reviens toujours aux\nmêmes constats : je ne peux pas m'enfuir...\x0E\x04\x00\x00
