MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nQu'est-ce qui vous arrive, Louis ?\nJe vous obsède, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nTout à fait, Rosado. Je suis littéralement\nenvoûté.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nQuoi, sérieusement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nVous débordez d'énergie, que ce soit par\nvos gestes ou par vos discours.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nEt à mes yeux, c'est tout simplement sublime.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nHa ha ha ! Je voulais juste vous faire marcher,\nmais j'adore votre franchise !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nToutefois, je croyais que vous aimiez surtout\ncontempler des gens en train de bavarder.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nMe regarder tout seul revient-il au même ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nCe n'est effectivement guère différent.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nSeules, certaines personnes sont capables\nd'employer une énergie sans limite.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nLorsque l'on avise un chiot gambadant sur\nla route, regrette-t-on qu'il n'ait pas de\ncamarade pour l'accompagner ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nNon, bien sûr que non.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nJe n'ai rien à ajouter.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nVous êtes fascinant, Louis.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nNous n'avons jamais beaucoup bavardé, mais\nmaintenant, j'ai envie de mieux vous connaître !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nMoi de même, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nDans ce dessein, partageriez-vous une tasse\nde thé avec moi ? Je choisirai mon service\nle plus charmant.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ロサード\nFormidable. C'est parti !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nVraiment ? Vous ne les trouvez pas adorables ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nN'éprouvez pas ma résistance, Rosado.\nJe ne céderai pas sur ce point.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nRegardez de plus près. N'êtes-vous pas\nun tout petit peu charmé ?\x0E\x04\x00\x00
