MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nCe vent, cette odeur... Ça ressemble\ntellement à chez moi.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nChez vous ? Dans votre monde ?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04リン\nOui. On se croirait dans les plaines de Sacae.\nC'est là que je suis née.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x06\x04リン\nAhh... Je me souviens bien de leur beauté.\nQuand j'étais petite, ces plaines semblaient\ns'étendre à l'infini.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nC'est un paysage vraiment magnifique,\net cette brise est agréable.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x06\x04リン\nÇa me fait plaisir que vous disiez ça, même si\nce n'est pas réellement mon foyer.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x06\x04リン\nOn se levait à l'aube, on s'occupait des bêtes,\non attrapait du gibier, et on se couchait en\nmême temps que le soleil.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x06\x04リン\nChaque jour de mon enfance dans les plaines\nse déroulait ainsi. Mais cela n'a pas duré\néternellement.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nPouvez-vous me dire ce qui s'est passé ?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x06\x04リン\nLa tribu des Lorca, mon peuple, a été attaquée\npar d'ignobles bandits. Il y a eu tellement\nde morts...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x06\x04リン\nCes bandits étaient lâches. Ils ont empoisonné\nnotre eau et attaqué dans le chaos qui s'en\nest suivi.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nC'est affreux...\x0E\x04\x00\x00
