MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nNotre navire est amarré ici.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nMerci de nous avoir escortés jusqu'ici.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nMauvier ! Tout est prêt, comme tu me l'as\ndemandé ! N'hésite pas à exagérer mon impli...\nHé, une petite minute !\x0E\x04\x02\x00
MID_OP1_#004	Que fait le Dragon divin ici ?!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nMarni ?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マロン\nQu'est-ce que vous voulez ?! Nous n'avons plus\nle moindre anneau !\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06モーヴ\nLes circonstances nous poussent à voyager\nensemble vers Lythos.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06マロン\nHein ?!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06モーヴ\nDragon divin. Lorsque Marni et moi avons perdu\nles anneaux, Zephia nous a punis... bien\ntrop durement.\x0E\x04\x02\x00
MID_OP1_#010	Alors, je vous jure sur mon honneur que je ne\nvous trahirai pas une fois en mer. Je vous\nmènerai à Lythos sans encombre.\x0E\x04\x02\x00
MID_OP1_#011	M'accorderez-vous votre confiance ?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nJ'y consens. Menez-nous à Lythos.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06マロン\nQuoi ?! Pourquoi les aides-tu ?! Ce ne sont pas\nnos amis. Ce sont nos ennemis !\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06モーヴ\nIl faut que le Dragon divin rende visite à\nDame Veyle.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nNous n'avons aucune raison de vous affronter.\nTant que vous vous abstenez de lancer les\nhostilités.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06マロン\nVoilà qu'ils nous menacent pour éviter qu'on\nles menace. Mauvier ! Qu'est-ce que c'est\nque cette histoire ?!\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06モーヴ\nJe t'en dirai plus une fois à bord. Si ça ne te\nconvient pas, tu peux rester ici.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06マロン\nHé... Quoi ?! Parfait ! Très bien. D'accord ?\x0E\x04\x02\x00
MID_OP1_#019	Une trêve temporaire jusqu'à ce que l'on\nretrouve Zephia et les autres à Lythos.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06モーヴ\nVoilà. Allons-y, Dragon divin.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nTrès bien.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06マロン\nVous êtes l'enfant du seigneur Sombron ?!\nQuoi ?!\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nOui.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マロン\nMais alors... Vous êtes l\x0E\x0A\x00\x1E\x0Ee frère\x0Ca sœur que Dame Veyle\ncherche depuis tout ce temps ?!\x0E\x04\x02\x00
MID_OP2_#004	Et c'est pour ça qu'on va à Lythos...\nAttendez. Griss est au courant de tout ça ?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nC'est lui qui me l'a dit.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06モーヴ\nGriss cherchait la bagarre au château d'Elusia\npour vérifier la véracité de ses informations. Il\nn'a pas hésité à sacrifier un anneau pour cela.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x08\x06マロン\nQuoi ?! Personne ne m'avait informée de\nce plan !\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nPourquoi Sombron et Veyle se rendent-ils\nà Lythos ?\x0E\x04\x00\x00
