MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nBonjour, Votre Divinité ! Comment vous me\ntrouvez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAllez, quoi, ne soyez pas timide ! Vous me\ntrouvez mignonne, charmante ? Allez,\nlâchez-vous !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAh, euh, oui, tout à fait. Vous êtes tout à fait\ncharmante, comme à l'accoutumée.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est tout ce que vous avez à dire ?\nJe vous ferais remarquer qu'être si adorable\nest un travail de longue haleine !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nLa moindre des choses, ce serait de vous\nen apercevoir !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nJe n'avais pas remarqué. Vous m'en voyez\nnavré\x0E\x0A\x00\x06
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est tout ce que j'obtiens ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nPourquoi ça ne fonctionne pas ? D'habitude,\nles gens s'empressent de me consoler quand\nje fais ma petite moue boudeuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nÀ croire que vous suivez un entraînement divin\npour reconnaître les larmes de crocodile, Votre\nDivinité...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nUn entraînement divin ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nJe ne crois pas que cela soit nécessaire pour\nvoir que vous jouez la comédie...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh ! Très bien, dans ce cas, autre question !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous n'avez pas l'air sous le charme de mon\njoli minois. On peut savoir pourquoi ?\nMon charme est pourtant irrésistible !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nJe ne différencie pas les gens selon leur\ncharme, mais plutôt leur gentillesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nN'importe quoi ! Être gentil, c'est bien beau,\nmais le charme l'emporte largement !\nTout le monde sait ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vous préviens, j'ai l'intention de redoubler\nde coquetterie ! Avec ça, je finirai bien par\nattirer votre regard !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nBonjour, Votre Divinité ! Comment vous me\ntrouvez, cette fois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'ai tout fait pour être super mignonne.\nEncore plus que d'habitude !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAvouez-le... Vous êtes tombé\x0E\x0A\x00\x06
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nVous êtes très mignonne, c'est certain. Et je suis\npersuadé\x0E\x0A\x00\x06
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nMais comme je vous l'ai dit, je ne traite\npas les gens différemment selon leur charme.\nPourquoi cela vous obsède-t-il à ce point ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe n'avais pas l'intention de vous raconter ça,\nmais bon...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa mère était l'une des concubines du roi, ce\nqui lui a valu des coups fourrés en tout genre\nau sein de la cour.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais ça ne l'a jamais contrariée. Elle restait\nstoïque et gardait le sourire malgré les insultes.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est grâce à ce sourire qu'elle a fini par gagner\nsa place à la cour, et même l'affection de\nla reine.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est ainsi que j'ai appris que le charme était\nune arme. Et je compte me servir du mien\ncomme elle l'a fait.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nJe vois... Mais puis-je vous poser une question ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nVous ne pensez pas qu'en dehors de sa propre\nsurvie, votre mère avait d'autres motivations ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nComme quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nPeut-être qu'elle cherchait à vous enseigner le\nmoyen de survivre à la cour.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nPuisqu'elle ne pourrait pas veiller sur vous\néternellement, elle vous a transmis son talent.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nVoilà le véritable charme à mes yeux. Il réside\ndans ce que nous faisons pour les êtres qui\nnous sont chers.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nMère... Je ne m'étais jamais rendu compte...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEt voilà le travail, Votre Divinité ! Bon appétit !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nVous m'avez cuisiné quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nTout à fait ! Un plat épicé pour vous donner\nchaud !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vous ai aussi apporté des herbes médicinales.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh, eh bien, merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nC'est très gentil à vous, mais qu'est-ce qui\nme vaut ces attentions ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nVos paroles m'ont ouvert les yeux...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nPour rayonner d'un charme authentique, je dois\nvouer ma vie au service des autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe regrette d'avoir agi comme je l'ai fait.\nVous me pardonnez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nNe vous excusez pas, je ne vous en tiens\naucunement rigueur !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nTant mieux, alors !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nTout le monde aimait ma mère parce qu'elle\nétait à la fois charmante et pleine de bonté.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'ai encore beaucoup de chemin à parcourir\npour lui ressembler.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais je vous remercie de m'avoir montré la voie.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie. Pour ma part, je trouve que\nvous avez déjà fait une bonne partie du chemin.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nTout de même... si je parviens à égaler ma mère\nen charme intérieur aussi bien qu'extérieur...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous ne pourrez plus prétendre que le charme\nne vous intéresse pas, Votre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nJe trouverai bien une parade.\x0E\x04\x00\x00
