MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x021\n\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x022\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x023\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nGrrr... Vous l'avez toujours pas débusquée ?!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nDésolée, cheffe ! Elle est du genre rapide, cette\nvoleuse... Elle a réussi à nous semer !\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nJe vous rappelle que les voleurs, ici, c'est nous !\nOn vole aux autres, on se fait pas détrousser\nnous-mêmes, bande d'incapables !\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nElle a pas pu quitter la forteresse, alors tu vas\nlui mettre la main dessus et plus vite que ça !\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nOui, cheffe !\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nMauvaises nouvelles, cheffe !\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nGare à toi si tu t'es encore planté !\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nY a toute une bande à l'air pas commode qui\nvient droit sur nous ! Même qu'ils sont armés !\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nBen voyons. Tu parles d'une sale journée...\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nMais pas question de se laisser faire ! Bataillons\nen position, prêts au déploiement !\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nTous les voleurs à la chambre forte !\nSécurisez le trésor et évacuez les lieux !\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nCompris, cheffe !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x14\x06アンナ\nSmile\n\x0E\x03\x02\x08\x06アンナ\nOuaah ! Une pièce entière pleine de richesses !\nJe suis sûre que ça dérangera personne si je\nme sers un peu au passage.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x05\x01\x14\x06アンナ\nAngry\n\x0E\x03\x02\x08\x06アンナ\nY a quelqu'un qui parle au loin, non ?\nÀ sa voix, on dirait que c'est la panique...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x00 \x1AS002_蛮族_アーチャー\x02b\n\x0E\x05\x01*\x1AS002_蛮族_アーチャー\x0CStrike\n\x0E\x03\x02\x1C\x1AS002_蛮族_アーチャー\nBougez-vous un peu ! Tous en position !\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06アンナ\nIls vont se battre, ou quoi ? Je ferais mieux de\nme cacher !\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nIl faudra bien que ça fasse l'affaire...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x02b\n\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nTu parles d'une journée pourrie ! C'est de pire\nen pire !\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x02t\n\x0E\x05\x01*\x1CS002_蛮族_モンク_中央\nAngry\n\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nBoucle-la et concentre-toi un peu ! Faut que\nton matos soit prêt avant le coup d'envoi !\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nÇa s'annonce mal ! Y a des bandits partout,\nje réussirai jamais à leur filer entre les pattes.\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nOn dirait que nous avons trouvé le repaire de\nbandits dont parlaient les villageois.\x0E\x04\x00\x00
