MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nAaah... Quel enivrant fumet.\nUne odeur de fraîcheur et... de verdure.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nOui, moi aussi, j'aime l'odeur de l'herbe\nfraîchement coupée !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nPfff ! Je crois que c'était les dernières\nmauvaises herbes de tout Somniel.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nAutrement dit, notre travail de Sentinelles\nest fini pour aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nAinsi, arracher les mauvaises herbes figure\nparmi les devoirs des Sentinelles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nBien sûr ! La preuve, c'est ce qu'on a fait\naujourd'hui !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nCe n'est pas parce que les bandits ne rôdent\npas dans ce coin que Somniel n'a pas besoin\nd'être protégée.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nHm, oui. Nous avons le devoir de la défendre\ncontre les incessants assauts... des mauvaises\nherbes.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nEh, mon vieux Bunet. N'oublie pas que\nje compte sur toi pour mijoter de bons\npetits plats pour la fête.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nN'aie crainte. Comme toujours, je me fendrai\nd'un banquet aux petits oignons.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nVoilà ce que je voulais entendre.\nY a pas à dire, t'es quelqu'un.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nN'en faisons pas tout un plat. Je suis heureux\nde pouvoir affiner mes talents en cuisine.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nOh, au fait. Il semble qu'on va avoir la visite\nd'une célèbre critique gastronomique.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nOui ! C'est l'occasion rêvée de lui montrer\nce que tu sais faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nIntéressant... Dans ce cas, je vais me fendre\nd'un mets innovant.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nUn plat qui saura saupoudrer d'étoiles le regard\nde cette critique. Ne manque surtout pas sa\nréaction.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nPourquoi ne pas venir l'observer par toi-même ?\x0E\x04\x00\x00
