MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nDéfierez-vous le destin et le désespoir,\ndans le but de forger de nouvelles alliances ?\x0E\x04\x02\x00
MID_OP1_#002	Ton autre moitié demeurera-t-elle à tes côtés ?\x0E\x04\x02\x00
MID_OP1_#003	Les monarques ont disparu telle la neige au\nprintemps, telle la dune battue par le vent.\x0E\x04\x02\x00
MID_OP1_#004	Qui reste-t-il ? Un étranger au visage familier ?\nUn être jadis cher dont le nom a été oublié ?\x0E\x04\x02\x00
MID_OP1_#005	Quelqu'un connaît la vérité.\x0E\x04\x02\x00
MID_OP1_#006	En ce monde, nul vide. Vos rêves ne\nse réaliseront point en ce monde.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nDame Nel ne semble pas encore prête à venir\navec nous, on dirait...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x16\x14E004_グレゴリー\nElle reste assise sous cet arbre, sans dire un\nmot... Je ne l'avais jamais vue dans un tel état.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x12\x10M011_モーヴ\nElle est ainsi depuis une bonne demi-heure.\nNous devrions peut-être lui proposer notre aide.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x18\x16E004_セレスティア\nLa complexité du cœur semble t'échapper,\nMauvier.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x12\x10M011_モーヴ\nJe ne saisis pas...\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nDame Nel vient tout juste de révéler des\nsentiments qu'elle avait réprimés pendant\nde longues années.\x0E\x04\x02\x00
MID_OP2_#007	Il est tout à fait normal qu'elle ait besoin\nd'un peu de temps pour elle-même.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x12\x10M011_モーヴ\nOh, je vois...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x16\x14E004_グレゴリー\nLes cœurs tourmentés sont délicats.\nIl faut pas presser les choses, mon grand.\x0E\x04\x00\x00
