MID_FOOD_RESULT	\x0E\x01\x01\x00 \x0E\x01\x00\x00
MID_FOODRANK_Superb	de 1er choix
MID_FOODRANK_Delicious	à tomber
MID_FOODRANK_Growling	à se pourlécher
MID_FOODRANK_Melt	à en saliver
MID_FOODRANK_HighKing	de conquérant
MID_FOODRANK_HolyMother	de saint
MID_FOODRANK_Courage	du courage
MID_FOODRANK_Wisdom	de la sagesse
MID_FOODRANK_Chalk	au goût divin
MID_FOODRANK_Mens	au goût marqué
MID_FOODRANK_ForBoys	à la reviens-y
MID_FOODRANK_Woman	au goût audacieux
MID_FOODRANK_ForGirls	au goût subtil
MID_FOODRANK_Adult	pour adultes
MID_FOODRANK_Child	pour les jeunes
MID_FOODRANK_Your	perso
MID_FOODRANK_Discerning	pour fin gourmet
MID_FOODRANK_Whimsical	de fantaisie
MID_FOODRANK_Rich	pour faire le plein
MID_FOODRANK_Refreshing	au goût léger
MID_FOODRANK_Sharp	bien comme il faut
MID_FOODRANK_Friendly	au goût doux
MID_FOODRANK_BrodiaStyle	à la brodienne
MID_FOODRANK_FileneStyle	à la firénienne
MID_FOODRANK_SolumStyle	à la solmoise
MID_FOODRANK_IrcionStyle	à l'elusienne
MID_FOODRANK_LithosStyle	à la lythienne
MID_FOODRANK_Wild	des chaumières
MID_FOODRANK_Exciting	en portion large
MID_FOODRANK_CarefullySelected	de grande classe
MID_FOODRANK_Fresh	1re fraîcheur
MID_FOODRANK_Spicy	au goût relevé
MID_FOODRANK_Hot	au goût épicé
MID_FOODRANK_Bitter	au goût amer
MID_FOODRANK_Bittersweet	à l'aigre-doux
MID_FOODRANK_SuperSweet	au goût mielleux
MID_FOODRANK_Sweet	au goût sucré
MID_FOODRANK_Chewy	pour dents dures
MID_FOODRANK_Hard	à bien mâcher
MID_FOODRANK_Habit	au goût délicieux
MID_FOODRANK_Smart	un peu au hasard
MID_FOODRANK_Normal	au goût ordinaire
MID_FOODRANK_Mistake	sans la recette
MID_FOODRANK_Shortage	sans intérêt
MID_FOODRANK_DifferentStar	d'un autre monde
MID_FOODRANK_DefinitelySuffer	pour ventre solide
MID_FOODRANK_Carbonization	couleur charbon
MID_FOOD_OnionSoup	Soupe à l'oignon
MID_FOOD_H_OnionSoup	Soupe sans prétention mais riche\nen goût. Composée d'eau, d'oignons\net d'épices.
MID_FOOD_ConsommeSoup	Consommé haricots légumes
MID_FOOD_H_ConsommeSoup	Soupe aux haricots, aux légumes\net à la saucisse. La composition\ndu fond varie selon le cuisinier.
MID_FOOD_DumplingsOfMeat	Pains à la viande
MID_FOOD_H_DumplingsOfMeat	Petits pains farcis de viande\nhachée aux herbes, légumes et\nmiettes de pain avant d'être bouillis.
MID_FOOD_PotatoSoup	Potage de pomme de terre
MID_FOOD_H_PotatoSoup	Soupe consistante et réconfortante\naux pommes de terre nouvelles.
MID_FOOD_WhiteSausage	Saucisses blanches
MID_FOOD_H_WhiteSausage	Saucisse à la viande de mouton\net au lard, relevée aux diverses\nherbes.
MID_FOOD_StewedSaltedMeat	Ragout de viande salée
