MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDame Nel, puis-je vous offrir\nun rafraîchissement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nCe ne sera pas nécessaire.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nOu quelque chose à grignoter, peut-être ?\nJ'ai apporté une miche de pain.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nJe n'ai pas faim.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nCe n'est pas grave, je mangerai cela plus tard.\nVous souhaitez peut-être vous reposer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nZelestia...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nOui ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nVous êtes aux petits soins pour moi\nen ce moment. Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nEh bien, je... C'est à cause de cette bataille\noù je n'ai pas su vous protéger.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Il est hors de question que cela se reproduise.\nC'est pourquoi j'ai résolu de demeurer à vos\ncôtés et d'assurer votre sécurité.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nJ'apprécie l'intention...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Mais il ne saurait être encore question de\nhiérarchie entre nous. Désormais, nous sommes\ndeux égales, au service du Dragon divin.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Votre aide m'a été extrêmement précieuse\ndans notre monde. Et j'estime que vous avez\namplement accompli votre devoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nS'il en est ainsi, j'imagine que je peux faire\nce qui me plaît, à présent.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nExactement. Quant à moi, je vais prendre congé.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n♪ Hm, hm-hm-hm, hmmm... ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04エル\nVous me suivez.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nÇa ne vous ennuie pas, au moins ? Comme\nconvenu, je fais ce qui me plaît. À savoir\ndemeurer à vos côtés.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x06\x04エル\nZelestia, je me demandais s'il vous était venu à\nl'esprit que vous pourriez former de nouvelles\namitiés.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDe nouvelles amitiés ? Comment cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nForger des liens avec d'autres personnes,\net ainsi élargir vos horizons.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, si c'est là ce que vous souhaitez, je ferai\nde mon mieux pour vous satisfaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nCe n'était pas un ordre.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nPour vous, Dame Nel, je me ferai des centaines\nd'amis ! Puisque ça vous rend heureuse !\x0E\x04\x02\x00
MID_RELIANCE_B_#007	...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nVous pleurez.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis navrée. Ce n'est pas faute d'avoir\nessayé, mais je n'ai pas réussi à me faire\nle moindre ami.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04エル\nQue s'est-il passé ?\x0E\x04\x00\x00
