MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHm... Hm, hmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nPuis-je faire quelque chose pour toi, Panette ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nOh non, pas du tout. Pourquoi cette question ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nTu ne me lâches pas des yeux depuis un certain\ntemps déjà.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nC'est que, pour une princesse, vous vous tenez\ntoujours si... coite.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nTu trouves ? Je ne me considère pas plus calme\nqu'une autre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nAh bon ? Pourtant, je ne vous vois pas danser\nde pièce en pièce en poussant la chansonnette...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nCela ne m'arrive pas, je te le confirme.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nEt vous ne festoyez pas comme un loup aux\nabois en engloutissant des côtelettes par\ncharrettes de vingt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nVous demeurez immobile, le regard droit...\nJe n'ai pas pu m'empêcher de vous fixer\ndes yeux, interloquée.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nTu ne m'as pas l'air très au fait de ce qui est\njugé acceptable de la part d'un membre\nde la famille royale.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nVous ai-je offensée ? J'en suis fort marrie,\ncroyez-le.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nInutile de t'excuser. Je n'ai aucune raison de\nm'insurger contre les traditions d'un autre pays.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nEn réalité, c'est agréable de discuter avec toi.\nMes vassaux manquent quelque peu de féminité.\x0E\x04\x00\x00
